message_size, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1024, 1165121, 1340872, 1212312, 1218039, 1245327, 1285041, 1245971, 1263373, 1252601, 1161780, 1150766, 1238837, 1257591, 1242197, 1242768, 1253641, 1163788, 1240860, 1163753, 1155821, 1255117, 1249340, 1254467, 1243621, 1251583, 1445732, 1266510, 1265073, 1230939, 1256057, 1157404, 1263099, 1147453, 1265411, 1247352, 1156044, 1288863, 1291262, 1279855, 1234526, 1138470, 1329871, 1258487, 1151686, 1162315, 1251424, 1243734, 1155803, 1167666, 1228850, 
2048, 1066884, 1063413, 1065522, 1056885, 1063608, 968728, 997641, 963635, 968142, 970459, 1069167, 1054858, 1071581, 972894, 1057191, 1049833, 1058051, 1084467, 1026103, 964913, 1057296, 1062798, 969713, 1063626, 963845, 1058668, 1045967, 1059709, 1052282, 965872, 1063231, 1067206, 1056457, 971010, 982637, 1018758, 1005885, 1076002, 1014998, 1044515, 1152612, 1007802, 1000963, 990812, 1093300, 1071137, 1081861, 1061908, 975510, 1106865, 
4096, 971189, 878733, 875932, 875237, 879633, 971613, 880508, 876102, 969382, 969726, 975888, 892032, 970446, 971959, 971513, 875644, 879525, 970856, 972940, 965438, 973412, 968423, 971694, 867020, 879488, 966581, 968124, 967982, 970419, 877176, 967892, 975581, 977849, 968404, 878328, 966599, 882620, 996882, 890875, 888662, 972060, 974321, 980248, 978287, 978580, 905509, 974947, 967790, 915194, 966840, 
8192, 829266, 930685, 921912, 891393, 930866, 837273, 830495, 926224, 921520, 926067, 864750, 835954, 892745, 835630, 923779, 921522, 928006, 827421, 873187, 869769, 835463, 871900, 920473, 932153, 930468, 821935, 922388, 919478, 827500, 829466, 919429, 829838, 922978, 921595, 920637, 923750, 915066, 919879, 823681, 918959, 828631, 829433, 920190, 828038, 830194, 923360, 836605, 846183, 926648, 924028, 
16384, 809700, 900940, 906926, 842244, 897876, 901567, 845302, 896408, 846528, 901960, 807995, 901601, 809745, 811351, 812986, 902216, 810681, 810701, 902845, 810315, 901301, 905423, 901343, 902609, 903574, 810714, 902711, 901503, 901430, 899667, 901734, 810861, 903923, 901783, 811466, 811870, 872955, 811260, 900963, 807111, 902237, 901588, 900353, 903047, 904914, 901618, 905315, 806186, 809868, 811044, 
32768, 799147, 891244, 800195, 889493, 890686, 800033, 888718, 890896, 886871, 798688, 799228, 801191, 892004, 893989, 889282, 800899, 830028, 861502, 889976, 890855, 889763, 891753, 891839, 890521, 890399, 797767, 800291, 889965, 801001, 894022, 890432, 799328, 795813, 796379, 893472, 888950, 891534, 794122, 797109, 799832, 888702, 890500, 877300, 861470, 889086, 891595, 894200, 890415, 885929, 799910, 
65536, 795367, 885821, 886802, 880976, 858862, 884512, 887991, 885139, 880343, 794198, 880240, 883913, 793761, 887353, 888900, 827631, 797850, 884275, 795397, 795232, 887755, 886237, 884166, 884714, 886875, 885642, 886001, 886951, 886018, 795790, 886505, 885273, 888019, 796089, 885931, 795742, 789539, 885496, 888225, 884712, 880927, 886692, 799087, 888494, 886449, 885839, 790332, 881793, 886171, 885462, 
131072, 885462, 880088, 888929, 885050, 886660, 883272, 791497, 787591, 880149, 879394, 794977, 884643, 792607, 883616, 792712, 806474, 883696, 884532, 804124, 787683, 883636, 806921, 884123, 888377, 794246, 796175, 888176, 885969, 888178, 886071, 885887, 835307, 885387, 786217, 884253, 791651, 792701, 883714, 792151, 791166, 884298, 883850, 788120, 879752, 898211, 787164, 884197, 878926, 815283, 884797, 
