message_size, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, 
1024, 1250019, 1272483, 1297561, 1278579, 1169012, 1263146, 1247255, 1197670, 1280184, 1193724, 1274686, 1202496, 1149885, 1252222, 1273923, 1252422, 1156440, 1238113, 1248624, 1151780, 1169110, 1245857, 1170814, 1145105, 1247307, 1245613, 1242890, 1268446, 1156790, 1250418, 1252574, 1244878, 1158988, 1250173, 1152507, 1245965, 1164646, 1253526, 1171895, 1267249, 1239937, 1249139, 1362375, 1351527, 1309965, 1345068, 1251355, 1192263, 1175617, 1256567, 
2048, 975154, 1057758, 1115561, 975976, 1064369, 1063783, 1065498, 1063862, 1064213, 973575, 1058891, 1060266, 972178, 1066731, 1053866, 1072201, 1059713, 975541, 964304, 963411, 1063714, 966690, 1061759, 973407, 1063433, 990788, 976682, 967794, 1076278, 969607, 1065292, 974235, 1054734, 1067005, 967928, 977280, 1045945, 1115206, 1006322, 1102895, 1077645, 1016936, 982387, 971358, 978877, 977187, 987514, 1056465, 968614, 1041191, 
4096, 884166, 872699, 872528, 879022, 965649, 972510, 877354, 969439, 880411, 913600, 871136, 969103, 883817, 970951, 877116, 934697, 971703, 970853, 874691, 881366, 969658, 879817, 965657, 970953, 942616, 874070, 874696, 971945, 877815, 962834, 881174, 974702, 879497, 967495, 880518, 972019, 974052, 877623, 880300, 878052, 875760, 970191, 971149, 874820, 972029, 979493, 886427, 975350, 971317, 973394, 
8192, 921215, 826942, 922264, 926782, 921983, 923505, 835896, 830707, 920225, 831578, 833827, 933181, 946845, 918223, 922490, 924810, 929316, 918392, 828189, 866006, 929904, 924269, 921037, 922868, 930688, 920884, 830714, 920865, 924120, 926434, 922125, 924079, 838415, 923369, 835342, 925731, 831290, 926953, 927718, 918485, 833148, 928076, 925327, 920696, 921732, 925255, 930177, 926416, 931042, 837179, 
16384, 806091, 809316, 903834, 901360, 897807, 807339, 899560, 802698, 903236, 812249, 898425, 868380, 897898, 811163, 897577, 898879, 807802, 896070, 902758, 903349, 901372, 903014, 902164, 897841, 903248, 810495, 897202, 904641, 903583, 902912, 897086, 905549, 897780, 898362, 808053, 898165, 806709, 901915, 868812, 896244, 895303, 807102, 904859, 899008, 903272, 899797, 804821, 903243, 898291, 900521, 
32768, 887479, 797913, 893259, 894668, 796060, 891658, 800557, 888049, 796300, 889408, 888839, 891076, 891426, 791825, 803770, 795415, 881968, 886657, 801485, 856398, 890029, 861323, 890659, 801052, 890638, 891039, 860508, 794599, 796851, 888102, 886947, 794854, 796194, 892858, 891241, 887339, 887655, 885895, 892165, 793690, 893661, 792169, 886705, 891802, 801867, 799807, 887452, 884344, 890843, 891567, 
65536, 793181, 883556, 882937, 883486, 793051, 888445, 881207, 881853, 792100, 887200, 791822, 886237, 793428, 795106, 792739, 885479, 791384, 883066, 886710, 886820, 792639, 851930, 793790, 791024, 794314, 878627, 887444, 885882, 889070, 791656, 883207, 793669, 826101, 885125, 884066, 795655, 792958, 884729, 888051, 886107, 887605, 787105, 886400, 887907, 882762, 883099, 884344, 884313, 795295, 898994, 
131072, 880674, 792106, 890859, 797037, 800571, 890434, 885442, 793117, 799909, 886464, 889493, 885480, 885787, 890481, 884560, 889287, 890808, 884515, 885004, 897210, 885769, 817634, 857733, 889631, 798312, 793120, 892735, 886953, 906336, 891727, 898860, 799005, 830978, 888957, 799988, 896472, 829411, 892697, 893785, 892143, 802357, 792634, 824825, 799338, 893664, 897259, 802005, 802370, 895812, 801507, 
