message_size, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, 
512, 2076126, 2119379, 2169200, 2151889, 2188922, 2209707, 2115837, 2156356, 2144165, 2104634, 2222265, 2220507, 2228773, 2129057, 2134404, 2174824, 2095610, 2222657, 2137000, 2103681, 2207026, 2196769, 2168192, 2147250, 2090571, 2189947, 2095646, 2205318, 2137612, 2184564, 2183580, 2187493, 2072425, 2248242, 2056287, 2148379, 2175635, 2156310, 2172575, 2186823, 2203837, 2145606, 2058725, 2155865, 2090343, 2157961, 2120075, 2202525, 2189207, 2189082, 
1024, 1621568, 1618882, 1715020, 1701800, 1712762, 1703897, 1543818, 1711441, 1673854, 1679664, 1687652, 1584376, 1711255, 1630409, 1613595, 1704148, 1606285, 1609687, 1611138, 1611885, 1700898, 1587275, 1680800, 1617348, 1614297, 1681916, 1646532, 1713384, 1673543, 1633403, 1572204, 1674186, 1668684, 1604206, 1704269, 1724944, 1703343, 1581065, 1571385, 1667559, 1671199, 1675516, 1630776, 1569009, 1666125, 1626793, 1626650, 1678410, 1694428, 1693890, 
2048, 1384824, 1382044, 1379597, 1320443, 1290303, 1316225, 1383051, 1320506, 1418458, 1384295, 1320244, 1380746, 1377828, 1322557, 1291016, 1315289, 1322826, 1352871, 1320292, 1380355, 1377602, 1316415, 1380361, 1376492, 1382081, 1286252, 1377733, 1380167, 1375992, 1375333, 1393417, 1344391, 1321802, 1289351, 1380782, 1381755, 1383331, 1427513, 1318700, 1380012, 1377177, 1293376, 1318868, 1378917, 1321928, 1378994, 1382793, 1379910, 1380062, 1376836, 
4096, 1307412, 1304091, 1205753, 1176653, 1301665, 1268807, 1267963, 1175042, 1303919, 1268568, 1287306, 1212911, 1237701, 1267099, 1304840, 1203957, 1204607, 1265746, 1204583, 1307281, 1204710, 1268141, 1267172, 1301789, 1270643, 1269020, 1205392, 1178348, 1267444, 1267102, 1271162, 1205888, 1204777, 1175215, 1178053, 1266825, 1303187, 1175240, 1174812, 1203402, 1267258, 1207071, 1206000, 1284549, 1267726, 1267374, 1302231, 1203380, 1204538, 1306715, 
8192, 1215090, 1151965, 1214525, 1214657, 1214666, 1215189, 1150248, 1213261, 1215162, 1215249, 1152633, 1123908, 1152535, 1124683, 1157553, 1153155, 1126655, 1151550, 1214687, 1214257, 1124561, 1196292, 1153165, 1214856, 1151608, 1153501, 1213972, 1129467, 1154076, 1214030, 1152582, 1153676, 1227494, 1214864, 1151005, 1214391, 1147152, 1151010, 1151159, 1152563, 1213352, 1151454, 1151666, 1214589, 1151909, 1185778, 1123568, 1214005, 1215757, 1214426, 
16384, 1190744, 1096903, 1128561, 1189154, 1198842, 1190790, 1127455, 1190920, 1130072, 1112946, 1127582, 1190314, 1190097, 1189495, 1112349, 1132408, 1203634, 1190205, 1099284, 1106111, 1191427, 1099544, 1190160, 1190423, 1125663, 1126132, 1127120, 1189660, 1190345, 1127922, 1126398, 1135948, 1191344, 1188936, 1190992, 1189091, 1098596, 1190428, 1189024, 1114845, 1190886, 1190948, 1189120, 1128546, 1127030, 1127107, 1206311, 1189982, 1127418, 1127299, 
32768, 1176109, 1112169, 1178511, 1112871, 1175220, 1177704, 1176474, 1175434, 1175678, 1176327, 1174674, 1095502, 1192561, 1175328, 1115141, 1100387, 1177120, 1097312, 1180790, 1112899, 1116573, 1113184, 1112172, 1116047, 1176335, 1107919, 1176696, 1176892, 1175799, 1176546, 1113812, 1175717, 1175899, 1100666, 1175444, 1176530, 1176830, 1175826, 1112676, 1177331, 1176570, 1113516, 1113350, 1099641, 1178576, 1176621, 1188300, 1176698, 1177339, 1175324, 
65536, 1167943, 1092358, 1106875, 1076405, 1170177, 1168985, 1104527, 1106438, 1106031, 1179863, 1168785, 1089753, 1106037, 1105519, 1169224, 1177833, 1084094, 1169774, 1105652, 1168708, 1104883, 1107070, 1168926, 1168574, 1168742, 1106498, 1168853, 1137189, 1169900, 1137731, 1168455, 1169010, 1167773, 1079360, 1169276, 1168840, 1077216, 1169049, 1168855, 1170600, 1137054, 1168991, 1169167, 1169563, 1168301, 1171619, 1105861, 1168982, 1170119, 1168321, 
131072, 1111889, 1113878, 1091156, 1174755, 1174715, 1174883, 1084391, 1175444, 1174169, 1174867, 1087087, 1083616, 1175910, 1193887, 1175416, 1173225, 1175225, 1083964, 1175006, 1085937, 1175301, 1174124, 1175359, 1174023, 1083507, 1148281, 1111316, 1083618, 1175135, 1172184, 1111946, 1175494, 1173445, 1176184, 1172039, 1112126, 1111593, 1176429, 1109852, 1175181, 1112344, 1112449, 1175163, 1175364, 1179089, 1173720, 1086009, 1173103, 1172318, 1175291, 
