num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 1524500, 1495267, 1489864, 1481888, 1499994, 1464353, 1490059, 1425764, 1418545, 1503235, 
2, 1569711, 1553718, 1479512, 1434774, 1501450, 1445052, 1448209, 1437253, 1426564, 1439742, 
3, 1437554, 1426871, 2777179, 1346269, 1354403, 1332651, 1334802, 1325997, 1340964, 1347385, 
4, 1316633, 1296892, 1305184, 1310139, 1306081, 1306389, 1298093, 1303832, 1280240, 1248378, 
5, 1437835, 1372121, 1355896, 1404684, 1394172, 1415150, 1412902, 1418190, 1425940, 1426048, 
6, 1307860, 1295293, 1271040, 1303612, 1304519, 1305089, 1295128, 1291693, 1310031, 1303293, 
7, 1334979, 1277515, 1263282, 1245597, 1276160, 1273877, 1282901, 1284940, 1266536, 1269740, 
8, 1276268, 1231406, 1226175, 1227548, 1229008, 1234877, 1238094, 1251440, 1252099, 1234746, 
9, 1385419, 1345665, 1373933, 1321661, 1376332, 1358107, 1351836, 1320734, 1314846, 1378408, 
10, 1232410, 1201857, 1226737, 1243175, 1245182, 1241247, 1248736, 1234727, 1246310, 1241648, 
11, 1299340, 1241765, 1255936, 1220542, 1236942, 1239895, 1217631, 1234623, 1253585, 1211213, 
12, 1392715, 1351816, 1338258, 1337677, 1386550, 1390950, 1384876, 1387556, 1398896, 1350820, 
13, 1324588, 2601302, 1306421, 1318193, 1328503, 1318679, 2627600, 1342353, 1292543, 1310302, 
14, 1280906, 1197203, 1184980, 1193121, 1191651, 1205932, 1229178, 1223038, 1221314, 2453672, 
15, 1353661, 1317960, 1281478, 1299851, 1294411, 1293158, 1302476, 1293460, 1288541, 1303916, 
16, 1337748, 2646342, 1308127, 1284681, 1316032, 1316275, 1289616, 1307559, 2587900, 1344829, 
17, 1326699, 1236195, 1258798, 2519973, 1244735, 2511603, 1272355, 1267311, 1265523, 1265479, 
18, 1268453, 1273173, 1309223, 1261983, 1296742, 1241023, 1242401, 1276205, 1252461, 1262458, 
19, 1368595, 1243024, 1268900, 1263622, 1256797, 1249206, 1262595, 1249969, 1231854, 1253973, 
20, 1317126, 1246906, 1325480, 1303669, 1280376, 1291342, 1296643, 1303606, 1281592, 1301581, 
21, 1355498, 1237979, 1240068, 1263444, 1300295, 1374710, 2639435, 1246930, 1208693, 1227510, 
22, 1409530, 1351236, 1306701, 1283432, 1261086, 1295402, 1301324, 1310669, 1352146, 1349220, 
23, 1348990, 1293466, 1262241, 1255690, 1288012, 1273284, 1287527, 1288941, 1235546, 1202453,
24, 1305296, 1301758, 1286795, 1254382, 1257768, 1284488, 1271604, 1260319, 1294307, 1290237, 
25, 1365380, 2602035, 1226613, 1222130, 2444045, 1214435, 1216853, 1206831, 1232272, 1210712, 
26, 1330196, 1232054, 2509670, 1276163, 1261079, 1257778, 1276054, 1289553, 1320799, 1297779,
27, 1368764, 1299241, 2603487, 1329430, 1317235, 1271832, 1278781, 1302655, 1320152, 1308247, 
28, 1331276, 1257687, 1275118, 1237283, 1259627, 1250710, 1238878, 1295765, 1282322, 1294726, 
29, 1284381, 1204989, 1202539, 1229745, 1214880, 1218898, 1213434, 1229320, 1241783, 1241039, 
30, 1301358, 1207679, 1187676, 1210568, 2427404, 1198397, 1203059, 1227382, 1199519, 1223104, 
31, 1306977, 1180550, 1189885, 1180190, 1185286, 1164452, 1188214, 1180788, 1181334, 1185611,
32, 1275356, 1211048, 1174226, 1174524, 1227584, 1192212, 1174746, 1185119, 2365251, 1216622, 
