num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 80652, 74966, 67697, 68612, 57199, 54558, 54587, 54525, 54647, 54450, 60713, 63863, 64443, 64920, 64843, 64810, 64864, 64200, 61133, 67900, 69640, 67059, 70887, 69412, 66745, 67284, 65517, 65550, 65174, 59481, 65320, 62223, 62178, 62016, 61868, 76861, 67267, 66062, 65798, 66003, 65105, 65690, 65664, 63087, 53077, 53048, 53100, 53100, 53175, 53222, 53278, 53100, 53250, 53400, 53400, 53400, 59847, 69407, 65107, 64853, 64694, 64725, 66831, 67576, 64371, 60774, 76121, 77124, 73934, 74247, 63710, 60722, 59801, 60635, 74554, 74492, 74900, 74053, 67460, 63673, 56175, 63064, 67855, 66551, 73776, 74734, 72522, 81913, 90749, 90964, 77986, 80725, 70705, 80074, 77450, 66695, 55498, 56077, 70314, 68994, 
2, 76500, 66750, 66525, 66225, 72650, 71250, 71175, 69000, 68325, 66450, 66203, 66022, 66225, 66250, 66425, 66348, 66402, 75500, 70375, 68975, 69325, 68525, 71669, 67086, 66623, 66575, 66750, 66489, 66561, 66475, 66725, 66900, 67350, 66900, 68858, 67367, 67325, 78570, 73650, 75175, 74876, 74499, 76735, 79896, 74325, 73755, 67875, 63590, 63235, 66225, 66075, 67725, 72425, 74761, 81064, 75825, 66600, 66375, 66375, 71334, 72730, 70761, 72900, 72741, 72686, 67825, 67111, 67484, 67223, 75806, 74150, 74100, 74060, 74209, 73031, 76200, 74684, 74416, 74025, 75075, 77600, 80267, 70377, 76075, 70775, 69234, 67591, 67637, 67788, 67587, 67563, 67563, 67587, 67569, 67606, 67650, 67625, 67650, 67553, 67622, 
3, 77447, 75500, 75150, 74750, 74200, 74783, 74351, 76741, 73864, 73475, 73225, 77479, 76296, 78825, 71700, 71350, 73975, 79136, 76789, 67950, 67680, 67370, 67698, 71775, 73905, 73852, 70975, 69000, 68350, 76075, 78075, 79328, 79459, 80638, 85150, 75625, 70039, 70050, 70300, 71425, 74850, 77750, 68675, 68060, 68065, 69750, 75100, 76825, 77975, 78175, 80163, 76908, 78004, 72225, 78467, 77385, 76707, 77282, 81032, 83961, 75734, 68625, 68104, 68000, 68175, 68211, 68314, 68575, 68325, 68125, 68575, 71325, 75555, 76892, 82183, 83425, 78687, 80138, 75700, 76275, 79875, 76100, 70600, 71676, 69399, 53675, 53700, 54300, 63200, 69425, 70550, 71158, 68197, 75364, 77781, 77275, 73100, 78850, 77075, 80525, 
4, 82555, 81025, 81275, 75632, 80793, 81125, 80950, 80725, 80675, 79250, 75000, 78041, 75784, 60751, 53424, 53575, 53729, 62346, 66925, 67450, 66950, 66625, 67150, 64302, 64273, 61525, 70150, 73625, 75025, 75125, 75076, 74049, 75046, 76579, 79225, 83075, 84175, 80375, 81900, 81450, 83725, 81113, 75487, 78900, 78044, 76456, 77036, 76714, 76900, 73335, 74825, 75900, 72150, 73977, 76448, 77650, 75825, 67775, 69925, 71965, 73910, 76450, 77738, 77237, 73625, 70075, 68226, 68049, 68196, 72254, 78475, 78677, 77623, 68897, 72146, 72001, 72231, 73866, 76184, 69100, 73133, 78192, 78025, 78151, 78108, 77741, 77675, 77950, 78050, 78025, 76200, 73225, 69475, 67800, 65675, 70200, 72600, 72125, 78000, 79156, 
5, 79384, 77304, 70716, 68130, 75225, 72950, 75150, 75675, 75075, 76850, 80575, 77325, 78750, 80418, 78207, 77277, 78775, 79450, 75935, 77490, 72700, 70390, 75435, 76150, 71625, 77625, 80250, 79372, 82053, 77825, 75358, 79424, 78443, 78800, 79825, 79525, 75775, 78900, 75975, 81350, 80975, 82875, 82325, 80850, 82275, 73700, 74950, 79900, 70075, 67950, 67825, 69386, 68614, 64875, 63425, 68400, 69525, 65475, 64137, 71277, 74436, 75978, 74597, 76725, 77775, 76725, 75499, 69015, 70011, 71950, 73125, 74575, 75450, 85650, 77550, 77725, 79400, 68253, 74225, 81908, 84292, 81750, 79800, 73251, 68349, 68425, 67943, 68232, 76825, 78950, 72750, 74609, 78616, 79620, 79005, 80225, 79850, 82701, 83474, 78000, 
6, 71900, 69700, 69967, 71058, 71666, 72734, 71550, 71466, 71134, 71477, 71997, 68901, 69325, 69850, 68275, 66725, 70475, 72561, 85039, 84617, 86558, 80000, 75925, 84137, 87713, 85303, 79047, 75550, 76500, 80100, 76575, 76550, 74993, 76932, 81922, 76078, 79600, 81275, 83975, 82182, 73695, 83923, 85100, 78825, 76950, 78300, 81775, 83789, 80061, 80000, 83300, 80550, 74387, 70113, 75175, 73325, 74650, 78825, 80525, 73700, 73800, 76125, 80252, 76098, 77175, 77900, 76675, 81850, 79900, 83000, 78125, 74718, 74407, 78550, 73659, 78091, 80550, 79750, 79450, 76925, 72398, 72152, 80475, 82543, 76832, 76100, 76547, 78253, 81075, 79324, 71733, 70018, 72225, 77925, 75905, 76345, 70368, 76732, 76500, 76300, 
7, 75314, 64161, 61450, 61300, 61450, 61500, 62360, 63729, 65561, 67100, 66478, 65847, 65675, 64475, 64775, 66849, 64926, 65475, 66866, 67034, 64801, 62824, 66675, 70499, 70619, 70407, 66925, 66975, 66240, 66227, 66183, 63525, 63850, 65000, 63025, 62475, 65075, 64100, 63250, 64350, 64600, 63750, 65252, 64521, 65802, 65143, 64257, 65325, 64550, 63300, 63325, 61618, 61207, 61675, 61127, 61498, 62675, 63617, 64033, 64775, 64050, 64289, 63761, 63575, 65215, 66585, 68175, 68050, 67227, 65898, 69277, 70123, 68193, 68232, 67347, 64954, 67524, 66528, 69147, 69600, 67950, 66875, 66047, 66328, 66650, 66782, 67043, 67800, 65625, 64928, 66171, 66226, 64100, 65316, 66184, 64900, 63602, 65951, 65533, 65789, 
8, 73150, 68650, 67200, 65125, 64800, 65346, 65277, 64352, 65400, 72650, 69125, 70362, 68588, 68359, 63641, 55950, 55225, 61025, 69250, 68775, 69594, 69756, 71975, 67150, 67100, 66867, 68136, 68198, 69199, 67300, 64175, 66425, 68675, 68025, 67571, 68093, 67211, 65975, 66625, 65167, 65308, 67901, 67861, 67288, 65775, 67222, 68353, 67450, 65425, 69048, 68055, 69047, 67800, 70401, 69399, 56050, 56863, 56781, 56506, 56928, 55897, 60000, 62400, 62625, 63675, 64175, 65075, 66275, 67375, 68875, 69250, 68850, 68300, 68075, 68950, 70075, 68825, 67975, 68575, 67150, 62400, 62150, 62474, 62951, 64140, 64785, 63001, 64026, 65950, 66400, 67000, 71375, 72127, 71598, 70575, 69478, 69647, 70088, 69904, 70733, 
9, 80934, 72225, 72821, 70129, 69758, 69857, 69035, 70564, 68411, 71875, 70036, 73839, 76358, 68667, 66825, 69275, 69200, 68175, 67500, 63438, 64387, 67525, 74300, 73400, 73778, 74792, 66445, 68310, 72575, 72475, 68575, 71925, 74900, 72975, 74038, 71687, 77275, 75900, 76000, 71800, 71550, 72300, 71500, 71950, 71800, 73025, 70825, 68200, 65375, 66575, 69900, 70643, 70226, 70539, 71317, 70935, 71515, 71175, 71511, 70664, 71400, 72100, 72750, 74625, 75225, 75439, 75177, 75234, 77775, 78450, 74425, 74975, 76621, 73229, 72825, 72975, 75575, 74115, 76735, 76700, 76100, 75219, 76156, 75175, 77090, 78835, 78600, 76925, 75469, 76866, 77940, 74575, 69150, 65100, 61153, 62022, 63450, 62825, 64375, 65550, 
10, 73158, 67792, 67400, 65250, 64475, 63400, 64825, 57922, 64803, 65028, 65147, 65850, 66200, 64775, 63750, 62650, 63750, 72300, 68625, 68350, 68150, 71900, 77136, 78189, 79625, 80875, 78675, 76600, 80675, 77675, 80525, 78601, 72674, 74475, 75801, 75699, 75475, 75700, 77179, 75398, 68876, 67972, 82525, 74925, 68487, 68763, 72963, 72662, 75245, 78380, 70225, 68869, 67493, 69438, 67478, 68872, 74200, 75750, 68150, 69150, 72550, 74725, 75600, 76700, 77475, 74250, 71404, 73521, 73525, 74850, 71476, 70274, 72150, 76475, 76450, 72950, 76450, 75800, 73200, 72900, 74400, 75393, 74150, 74382, 75848, 72977, 75198, 78405, 79509, 79363, 78457, 65643, 74715, 74371, 66571, 72393, 75525, 73675, 68100, 66275, 
