num_pingsvalue1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
32, 53337, 50172, 49178, 48900, 48652, 48576, 49735, 49420, 48835, 48660, 49531, 49297, 49849, 49958, 49775, 49967, 49976, 49852, 49895, 50066, 48103, 48120, 48182, 48207, 48021, 48094, 50164, 50395, 50062, 49974, 49659, 47741, 47805, 47744, 47747, 47632, 47671, 48184, 47111, 47359, 47293, 47369, 47638, 47578, 47869, 47619, 48560, 48955, 48337, 48437, 48573, 49303, 49392, 49577, 49715, 50153, 50128, 50116, 51644, 50018, 49853, 49341, 47547, 47521, 47578, 47516, 47413, 47256, 48016, 48808, 49691, 49606, 49485, 49729, 51042, 50170, 50186, 51063, 49926, 50746, 49823, 49785, 49741, 49589, 49216, 49207, 48530, 47556, 47500, 47550, 47546, 47492, 47568, 47631, 47578, 47558, 47547, 47612, 47563, 47587, 
33, 56724, 51981, 48941, 48204, 47897, 48176, 52440, 52271, 52271, 47648, 47293, 48808, 46962, 44831, 44812, 51021, 51716, 51903, 51866, 51864, 51685, 51098, 50062, 49518, 49259, 49597, 49707, 50011, 46033, 44790, 44667, 49227, 49922, 49954, 50140, 50322, 49801, 44266, 44649, 44522, 49696, 50551, 50667, 50642, 49379, 47761, 48444, 49372, 50192, 48579, 50100, 49043, 50590, 49817, 48738, 48845, 45846, 44779, 44740, 50555, 51500, 52035, 52819, 51413, 48817, 48747, 48744, 48614, 48594, 48664, 51863, 51843, 51992, 51970, 50409, 49142, 50998, 51782, 51867, 49378, 48375, 48121, 47988, 48033, 48140, 48268, 49234, 49584, 51795, 51590, 51690, 47093, 45539, 48654, 48672, 48722, 48757, 48547, 48672, 48718, 
34, 54724, 50202, 49425, 45149, 45485, 46249, 45314, 43790, 43412, 43181, 44170, 43806, 43903, 43913, 43801, 44464, 44662, 44563, 44621, 44334, 44189, 44251, 44571, 44525, 45141, 45832, 44836, 44954, 44838, 44899, 44725, 44612, 44486, 44457, 44427, 44520, 44446, 45873, 46542, 46492, 46670, 46608, 46641, 46658, 46583, 46561, 46620, 46665, 46690, 47126, 47191, 46343, 45601, 45051, 44405, 44297, 44311, 44251, 44291, 44362, 44328, 44353, 44329, 44365, 44374, 44362, 44412, 44402, 43596, 43082, 42804, 42920, 43519, 43482, 43697, 44175, 44326, 44355, 45306, 47725, 47631, 47658, 47569, 45538, 45067, 45073, 45262, 45194, 45065, 52745, 54106, 53043, 47193, 45144, 45646, 46169, 47371, 48662, 45192, 54277, 
35, 47313, 43940, 42379, 42136, 42095, 41993, 41983, 41932, 41881, 41821, 42137, 41995, 42209, 42465, 42490, 43101, 42580, 42513, 44134, 44259, 43802, 44640, 44488, 44146, 44168, 42755, 42611, 42512, 42542, 42568, 42553, 44245, 46584, 46602, 46489, 46696, 46813, 46698, 46657, 46891, 46826, 46955, 46764, 46522, 46744, 47314, 47221, 47239, 47231, 47295, 47221, 47142, 47083, 47479, 47355, 47329, 47269, 46168, 42701, 47498, 46859, 46923, 46906, 46919, 46989, 47005, 47082, 47473, 47198, 47174, 47310, 47413, 47404, 48005, 47678, 47278, 47162, 47289, 47449, 48444, 48268, 48268, 48299, 48283, 48254, 48369, 48264, 48358, 48345, 45206, 43276, 43206, 45823, 46785, 46763, 46802, 46915, 46731, 46764, 47247, 
36, 47112, 45967, 45681, 45250, 44115, 43609, 43627, 43595, 43599, 43420, 44543, 45031, 45757, 46115, 46093, 45769, 45868, 45831, 48126, 48285, 48184, 48075, 48468, 49627, 48748, 48676, 48638, 48667, 48760, 48657, 48694, 48675, 48568, 46222, 46199, 46100, 45716, 45652, 46207, 46243, 46225, 46201, 46395, 46397, 46016, 45752, 45667, 45522, 45495, 45384, 45758, 45676, 45886, 45890, 45628, 47606, 47987, 47259, 45846, 45988, 46358, 46341, 48191, 46538, 46527, 47256, 48378, 48484, 48539, 48517, 48440, 48429, 48580, 48471, 47441, 46982, 43677, 42970, 43085, 43041, 43034, 43061, 42997, 42987, 43089, 42952, 42687, 42728, 42760, 42720, 42779, 42654, 42504, 42399, 42522, 42471, 42545, 42458, 42478, 42548, 
37, 51715, 42384, 42537, 42649, 42253, 39200, 42630, 42573, 42812, 42115, 42156, 42457, 42480, 42783, 42286, 42881, 42833, 42144, 42272, 42118, 42270, 42359, 42320, 42195, 42184, 42140, 42073, 42137, 42936, 42985, 42845, 43018, 43169, 43152, 43445, 43422, 43233, 43119, 43158, 43101, 43112, 43088, 43015, 43083, 43071, 43001, 43297, 42398, 42465, 42484, 42470, 40897, 40635, 42702, 42588, 42841, 42833, 42741, 42699, 42717, 42777, 43699, 43703, 43688, 43496, 43218, 43107, 43199, 43224, 43338, 43283, 43314, 43429, 43504, 43420, 43381, 43388, 43314, 43366, 43286, 43254, 43431, 43408, 43417, 43423, 43429, 43441, 43277, 43605, 43663, 43577, 43845, 43897, 43836, 43825, 43858, 43809, 43688, 43844, 43767, 
38, 45921, 44485, 45133, 44450, 43558, 46150, 46143, 46738, 46984, 47580, 47439, 45097, 44390, 46835, 47234, 44975, 44697, 44648, 44603, 44573, 44555, 45147, 44764, 44550, 45045, 46126, 46530, 44909, 44754, 44864, 43186, 43004, 42830, 42640, 42212, 42514, 42445, 42581, 42492, 42293, 45232, 44711, 44687, 45245, 45374, 45336, 45821, 45845, 45893, 45382, 45813, 45763, 44819, 45203, 45419, 45005, 45607, 45363, 45759, 44943, 45838, 45692, 45479, 45147, 45083, 46066, 45288, 45666, 45660, 45448, 47127, 46815, 46411, 45664, 45633, 45621, 45713, 45595, 45606, 45645, 45579, 45601, 45860, 47302, 47629, 47215, 47190, 47209, 47232, 46054, 46614, 46559, 46516, 46607, 46591, 46475, 46301, 46547, 46511, 46478, 
39, 49834, 49050, 48903, 46934, 44931, 46631, 47454, 43797, 43683, 43797, 43944, 45353, 45955, 42725, 42374, 42226, 42260, 46107, 46038, 45690, 45514, 46394, 44515, 43666, 44108, 47159, 47159, 45905, 46074, 46096, 47016, 46621, 47086, 46544, 46103, 46934, 46453, 46479, 46448, 46907, 46466, 45432, 45552, 45810, 46273, 45861, 46431, 45395, 46236, 46685, 46249, 44928, 44399, 44565, 44063, 43462, 43681, 44556, 46687, 46618, 46479, 46438, 46453, 46120, 44682, 44400, 44851, 43666, 43806, 43888, 44493, 44198, 44702, 45010, 44610, 46302, 46375, 45721, 45974, 46156, 45550, 46815, 47068, 46374, 46693, 50767, 51721, 51776, 51922, 51801, 51736, 47103, 45844, 46777, 45994, 46039, 46828, 46868, 46607, 46132, 
40, 53505, 45139, 45300, 47505, 47350, 46611, 46550, 43881, 43232, 42726, 42655, 43096, 41787, 42014, 43074, 43017, 43324, 43077, 43281, 43892, 43392, 43471, 43456, 43360, 43341, 43397, 43520, 43088, 42910, 42977, 43806, 43892, 43734, 43781, 43683, 43675, 44607, 44244, 43736, 43943, 43804, 43884, 43849, 43637, 43162, 46861, 47477, 44539, 43882, 43818, 43564, 43513, 43505, 46241, 47015, 46896, 46780, 46631, 47206, 46774, 46746, 47180, 46919, 49177, 50332, 51136, 50947, 51112, 51161, 51034, 50881, 49841, 49442, 49564, 49551, 49328, 49020, 49081, 49055, 48813, 48694, 49570, 50078, 49794, 49180, 49280, 49685, 49801, 49934, 50171, 50312, 50286, 50192, 50169, 50278, 50176, 50368, 51029, 50782, 50741, 
41, 45829, 43721, 43449, 43386, 42819, 43256, 42971, 42420, 42670, 41912, 42531, 42407, 42525, 42378, 42526, 43141, 43090, 42936, 44279, 44277, 44180, 44171, 44381, 44178, 44205, 44151, 44236, 44106, 44031, 44024, 47175, 47564, 47537, 47511, 44797, 41881, 41921, 41847, 41579, 41427, 42358, 41352, 40569, 42643, 42884, 42769, 43320, 43710, 43736, 43645, 43660, 43214, 41762, 41873, 41864, 41880, 41882, 43511, 44462, 44339, 44382, 44447, 44552, 44513, 45284, 45161, 45150, 45111, 45217, 44979, 45072, 45037, 45204, 45125, 45115, 45112, 45001, 45152, 45248, 44835, 44736, 47804, 44542, 47444, 44738, 44448, 43547, 43565, 43551, 43552, 43612, 43664, 43522, 43203, 42897, 43265, 43280, 43505, 43628, 43259, 
42, 42797, 41181, 40751, 40357, 42744, 43623, 43405, 43274, 43063, 43185, 43119, 43292, 43250, 42655, 43067, 43105, 43390, 43482, 43366, 43195, 39730, 39947, 40132, 39615, 39709, 39572, 42948, 43323, 43343, 42830, 43846, 43239, 43042, 43201, 43195, 42689, 42727, 43380, 43145, 43006, 42721, 43239, 42983, 42935, 42314, 42954, 42918, 42956, 42982, 42932, 43004, 42943, 43065, 43087, 43185, 43152, 42973, 42891, 43172, 43056, 43479, 43910, 43678, 43494, 43441, 43297, 43260, 43286, 46302, 47324, 45275, 44914, 44885, 44892, 45426, 44971, 44362, 44316, 44378, 44126, 44026, 43869, 43938, 44028, 43879, 43740, 43891, 43681, 43587, 43564, 43506, 43547, 43372, 43600, 43631, 43624, 43722, 43771, 44614, 45328, 
43, 48264, 47723, 45375, 44800, 44767, 44759, 44666, 44117, 45720, 45705, 45638, 45993, 46023, 46000, 46056, 46071, 46010, 46081, 42907, 42763, 42573, 42595, 42696, 42670, 42465, 42485, 41048, 41589, 40947, 40929, 40660, 40479, 40582, 41898, 42219, 46444, 46729, 46576, 46677, 46393, 46119, 46116, 46210, 46194, 46158, 46218, 46184, 46258, 46574, 46496, 46289, 45194, 45182, 45871, 46937, 46764, 49322, 47612, 48900, 49040, 48799, 48858, 48683, 48745, 48812, 48866, 48807, 48102, 48368, 48786, 48295, 45583, 42882, 44723, 47330, 46612, 46569, 46347, 46494, 46550, 46596, 46402, 46489, 46344, 46041, 45868, 45406, 45214, 45528, 45329, 45327, 45269, 44910, 44288, 44220, 44236, 44206, 44158, 44133, 44219, 
44, 54874, 45887, 45512, 44510, 43948, 44018, 43708, 45244, 42828, 42297, 41852, 43358, 43194, 43407, 43788, 43659, 43589, 43666, 43830, 44445, 44404, 44429, 44245, 44342, 44125, 44118, 44438, 44330, 44113, 43668, 43588, 43305, 43233, 43325, 43434, 43434, 43488, 43480, 46709, 46667, 46654, 46487, 46739, 46594, 46329, 46247, 44420, 43467, 43342, 43152, 43209, 43104, 43003, 43008, 43053, 43071, 43069, 43234, 43187, 43164, 42961, 44393, 45538, 46014, 47742, 47693, 47721, 45842, 42040, 42056, 42565, 42549, 42417, 42395, 42568, 42403, 42358, 42485, 42094, 42670, 42774, 42762, 42847, 43059, 49264, 52081, 52161, 52172, 52335, 50329, 47538, 47180, 46881, 46858, 46942, 48351, 44685, 44505, 44346, 44337, 
45, 54274, 51789, 50854, 50815, 50628, 50561, 50456, 49855, 49323, 49110, 49093, 49474, 49376, 49486, 49605, 49366, 50102, 49857, 50059, 50484, 50476, 50259, 50214, 50071, 50151, 50436, 50307, 50171, 50044, 50064, 50271, 50147, 53878, 54273, 54153, 54197, 54296, 53997, 50647, 50559, 51642, 52259, 51960, 52167, 52047, 52050, 52055, 52035, 52469, 48501, 52637, 52610, 52717, 51261, 51252, 51474, 51947, 51671, 51556, 51540, 51372, 51436, 51507, 50985, 51150, 51209, 51141, 52499, 52416, 52246, 50687, 50892, 50863, 50689, 50685, 50940, 50938, 50762, 50702, 53108, 53049, 47263, 47058, 46890, 46692, 46548, 46588, 46526, 46622, 46620, 46598, 46975, 46898, 46880, 46848, 46835, 46806, 46925, 46659, 46267, 
46, 46, 52320, 46610, 46191, 44863, 39810, 39054, 38709, 41963, 45369, 45645, 45421, 45223, 44910, 44956, 44638, 44609, 45083, 45219, 41869, 41572, 46159, 46616, 46762, 46582, 46400, 46422, 46064, 46141, 45951, 46023, 45795, 45903, 45939, 46123, 45639, 45817, 45768, 45477, 45874, 49250, 49394, 49454, 49534, 49534, 49259, 49414, 49429, 49265, 49332, 49356, 49364, 49276, 49263, 49472, 49838, 49994, 49950, 49746, 49660, 49641, 49511, 49602, 49658, 49199, 46305, 46424, 46546, 46471, 46501, 46322, 46176, 47179, 49637, 49552, 49581, 49519, 49510, 49583, 49550, 49566, 49344, 49250, 49111, 49167, 49065, 49088, 48773, 48527, 48514, 48897, 48809, 50141, 53038, 52912, 52942, 52796, 52709, 52723, 50430, 48634, 
47, 41165, 39744, 39407, 41625, 42732, 42546, 42307, 42087, 42045, 42036, 42221, 42061, 42094, 42072, 42145, 42068, 42150, 42332, 42391, 42587, 42270, 43105, 43059, 43001, 43110, 43089, 43042, 43166, 43049, 43242, 43397, 43243, 43225, 43174, 43071, 43058, 43156, 43156, 43144, 44137, 44079, 43836, 43952, 44174, 44141, 44145, 44154, 44132, 44432, 44666, 44716, 44476, 44516, 44630, 44723, 45120, 45036, 45032, 45069, 44924, 45053, 45249, 45237, 46393, 48525, 48543, 48038, 45537, 45531, 45289, 45170, 45405, 45425, 45402, 45337, 45194, 45354, 45355, 45137, 45335, 45007, 45102, 45071, 45228, 45430, 45613, 45292, 45440, 45463, 45659, 45613, 45390, 45419, 45486, 45463, 45526, 45458, 45627, 45393, 45501, 
48, 49955, 47391, 48474, 48700, 47845, 47334, 44218, 44936, 44385, 44267, 44232, 44228, 43911, 44066, 44395, 44802, 45012, 45642, 45863, 45858, 46375, 46153, 46314, 47502, 47450, 47422, 47313, 47345, 47144, 46613, 46240, 46147, 46133, 46111, 45954, 45968, 45924, 45869, 45847, 46144, 46303, 46312, 46252, 43132, 42076, 41807, 41930, 41962, 41645, 43507, 47549, 47501, 50792, 52072, 52096, 52149, 51977, 51864, 51898, 51881, 51941, 51825, 51612, 51638, 51549, 46822, 41552, 41460, 41355, 41505, 41339, 41479, 41512, 41370, 41470, 41256, 50100, 49043, 48948, 49045, 48861, 49226, 49300, 49234, 49209, 49117, 49367, 49512, 49458, 49316, 49382, 49362, 49202, 49216, 49219, 48998, 48859, 48899, 49105, 50335, 
49, 49, 49, 49, 49, 52181, 50736, 50285, 50425, 50263, 49907, 49088, 48754, 51624, 51059, 50849, 50212, 50554, 50213, 50585, 51682, 51487, 51563, 50269, 48181, 48235, 48457, 48408, 48505, 48393, 47963, 47194, 47741, 47630, 47769, 47669, 48034, 47556, 47482, 47944, 47924, 47819, 47660, 48079, 47813, 51119, 51685, 51658, 51848, 51804, 51510, 51977, 51956, 51861, 51584, 51657, 51286, 50837, 50946, 51595, 51584, 51484, 51544, 51594, 51412, 50735, 48166, 48072, 48079, 48232, 48228, 46646, 46407, 46581, 46332, 46201, 47880, 50524, 50717, 49000, 49044, 49097, 48627, 47973, 47838, 47916, 47669, 47473, 47549, 47573, 47505, 47564, 47563, 47445, 47127, 46908, 47046, 46910, 46884, 46881, 46663, 46483, 46132, 46170, 45916, 
50, 53938, 49971, 49045, 48612, 45195, 44288, 43702, 43033, 42872, 42842, 42842, 41646, 42753, 42159, 42561, 43083, 42904, 43557, 43649, 43660, 44533, 44553, 44801, 44518, 44702, 46364, 46311, 46485, 46652, 46170, 43730, 43158, 43360, 43074, 42879, 43440, 43423, 47492, 50732, 50450, 50385, 50425, 50632, 51215, 50660, 47308, 47266, 47464, 47547, 47723, 47350, 50380, 50840, 50172, 50081, 51894, 52143, 52028, 52044, 47654, 47090, 47038, 46967, 47006, 47040, 47027, 46816, 46722, 46862, 46977, 46948, 46854, 46858, 46806, 46864, 46924, 46872, 46895, 46810, 46723, 46804, 46773, 46777, 46833, 46830, 46995, 47283, 46918, 47748, 51095, 50837, 50985, 51163, 51258, 51361, 51320, 51401, 51417, 51224, 51075, 
51, 51, 53835, 46730, 38303, 38375, 38102, 39285, 40144, 41001, 48649, 48521, 48229, 46367, 45991, 45925, 46098, 46221, 46248, 46660, 46573, 46445, 46608, 46245, 46328, 46771, 46780, 46899, 46800, 47872, 49813, 49617, 50336, 50507, 50853, 50898, 50753, 50929, 50795, 50631, 50461, 47867, 46968, 47136, 47076, 46749, 46835, 46829, 46797, 46919, 46776, 47146, 47146, 46966, 47050, 47296, 47268, 47255, 47398, 47285, 47228, 47136, 47063, 47185, 47108, 47005, 47241, 47263, 47411, 47478, 47057, 47706, 47247, 47106, 46928, 47220, 46865, 46948, 47348, 47422, 47377, 47417, 47323, 47358, 47382, 47269, 47182, 47338, 49930, 50124, 50001, 50419, 50617, 50661, 50556, 50699, 50815, 50645, 50451, 50408, 50537, 50648, 
52, 54723, 53061, 52278, 52415, 51203, 50006, 48860, 48513, 48582, 48363, 48142, 47871, 48301, 48698, 48461, 48773, 49387, 49413, 49688, 49338, 49613, 50907, 50888, 50850, 50798, 50487, 50518, 50277, 50118, 49871, 49521, 47669, 46877, 46920, 46855, 47012, 46872, 47302, 47511, 47479, 44246, 44173, 44125, 44119, 44093, 43901, 44095, 44021, 44057, 44230, 44632, 44758, 44692, 44616, 44509, 44670, 44868, 44761, 44660, 44550, 44431, 44759, 45814, 45853, 45979, 45590, 45250, 45420, 45725, 45788, 45689, 48819, 49081, 49074, 48819, 48883, 49016, 48897, 48895, 48881, 50636, 50569, 50486, 50703, 50365, 45991, 45895, 45729, 45799, 45851, 45814, 45950, 46002, 45838, 45883, 49189, 50699, 50482, 50523, 49825, 
53, 50983, 50020, 49524, 49216, 46754, 44090, 43178, 43224, 42703, 46378, 46419, 46141, 45594, 41968, 41867, 42414, 42519, 42203, 42684, 42567, 42309, 43232, 42841, 46595, 48905, 48521, 48922, 49004, 48752, 48660, 48711, 48760, 48724, 48756, 48665, 48299, 50231, 53207, 50300, 46999, 46778, 49814, 51109, 51196, 51181, 50987, 50692, 51110, 50760, 51307, 51436, 51517, 51587, 51305, 51209, 51236, 51766, 47797, 46727, 46703, 49753, 52442, 51614, 51435, 51451, 51450, 51355, 51240, 51130, 51052, 51142, 50866, 50710, 50846, 50858, 50909, 50738, 50777, 50812, 50535, 48364, 51168, 51335, 51386, 51557, 51554, 52588, 52293, 52110, 52281, 52908, 52432, 52629, 52409, 52519, 52805, 52308, 52610, 52577, 49729, 
54, 52230, 51270, 50464, 49509, 47625, 48331, 48818, 48631, 48447, 48955, 48622, 48082, 48830, 48911, 48756, 48690, 49152, 49215, 49425, 49202, 49190, 49336, 49493, 49651, 49719, 49728, 49985, 49925, 50021, 50001, 49231, 48983, 47924, 47496, 47540, 47793, 47466, 47514, 47486, 47904, 48693, 48834, 49052, 48609, 48899, 49222, 48365, 47977, 48287, 48476, 48168, 48059, 48271, 48197, 48545, 49545, 49461, 49472, 49170, 49142, 49077, 48825, 48908, 49284, 49559, 49348, 49678, 49805, 49853, 49860, 49828, 49863, 49757, 49694, 49751, 49783, 49250, 48955, 48672, 48362, 48435, 48573, 48629, 48903, 48949, 48718, 48731, 48712, 48676, 48579, 48706, 48733, 48623, 48827, 48804, 48600, 48678, 48729, 48651, 48624, 
55, 50879, 50101, 50198, 50455, 51271, 51416, 51335, 51011, 49320, 49350, 49201, 48690, 48706, 48090, 48539, 48683, 49335, 50299, 49534, 50402, 50121, 49899, 50157, 50240, 50206, 50185, 50174, 50151, 50257, 50355, 49268, 48841, 49012, 49338, 49085, 49239, 49124, 50626, 51068, 50832, 50656, 50437, 50494, 50296, 50447, 50579, 50599, 50537, 50476, 50640, 50309, 50313, 50233, 50219, 50235, 50554, 50353, 50333, 50231, 50093, 46921, 47318, 46890, 47273, 47198, 46872, 46008, 48796, 50359, 49937, 49811, 49763, 50104, 50112, 50093, 49986, 49728, 49767, 49781, 49475, 49532, 49513, 49394, 49559, 49765, 49839, 49725, 49811, 49446, 49119, 48985, 49092, 49268, 49678, 50856, 51113, 51283, 51372, 51454, 51195, 
56, 55500, 52678, 49652, 47711, 43424, 42615, 43621, 42679, 43784, 43747, 43574, 43257, 43059, 43531, 43412, 43985, 43923, 44539, 44148, 44818, 44800, 45229, 45062, 44553, 44902, 44638, 44803, 44451, 44430, 45093, 44828, 45101, 45048, 44695, 44569, 44510, 44523, 44104, 44433, 44179, 44329, 44724, 46197, 46161, 45999, 46328, 46409, 46484, 46249, 46276, 46101, 46207, 46132, 45911, 45832, 45926, 46045, 46306, 46674, 46635, 46834, 47642, 47678, 47391, 47029, 47257, 46945, 46750, 46902, 47157, 46973, 46935, 46980, 46870, 46667, 46887, 46289, 42624, 42221, 42280, 42369, 42139, 41636, 41958, 39827, 40156, 40273, 45810, 48090, 48686, 48183, 48466, 48953, 48694, 48886, 48667, 48660, 49064, 49171, 49309, 
57, 45503, 43159, 42072, 41990, 41276, 41160, 40275, 40048, 39891, 40248, 39666, 39844, 40093, 39963, 39791, 39917, 40529, 40204, 40267, 40342, 40223, 40937, 40843, 40918, 41162, 40807, 40937, 40922, 40647, 40624, 40668, 40906, 41243, 40990, 40976, 40942, 40822, 41061, 40996, 40728, 41077, 40996, 41107, 43735, 43599, 43589, 43740, 43850, 43506, 43339, 43367, 43839, 43853, 43815, 43274, 42561, 42357, 42207, 42195, 44140, 45659, 45578, 45409, 45430, 45452, 45444, 45136, 45030, 45177, 45135, 44941, 45047, 45269, 45236, 46942, 47841, 47941, 47740, 42343, 41715, 41487, 41635, 41677, 41392, 41448, 41475, 41242, 42144, 43298, 43254, 43398, 43456, 43095, 43132, 43211, 43080, 43326, 43360, 43367, 43391, 
58, 52615, 47027, 44893, 45284, 44912, 44385, 43835, 44326, 46514, 45910, 42495, 42402, 42505, 42217, 42432, 42487, 43187, 42217, 43409, 43455, 43914, 43633, 43045, 42829, 42610, 42683, 42849, 42728, 42799, 42919, 42823, 43048, 43270, 43092, 43186, 43062, 43277, 43385, 43139, 42844, 42590, 42815, 42909, 42698, 42470, 42507, 42574, 42481, 42333, 42185, 42612, 42392, 42308, 42840, 43528, 43180, 42905, 42886, 42869, 42740, 42953, 42455, 42423, 42145, 42109, 42050, 41869, 42081, 42073, 41788, 42136, 42297, 42311, 42102, 41860, 41950, 42006, 42275, 42171, 42223, 42062, 42050, 42141, 41969, 42020, 42009, 41787, 42839, 42798, 42822, 42612, 43212, 43253, 43236, 43048, 42947, 42962, 42701, 42664, 42713, 
59, 59, 59, 59, 56480, 51781, 51435, 51144, 50719, 50513, 50556, 49738, 49300, 48865, 49164, 48675, 48092, 44960, 45774, 45565, 44960, 44912, 44945, 45046, 45365, 45323, 46174, 46085, 46735, 47137, 46798, 46122, 47105, 46766, 46643, 46764, 47145, 46707, 46322, 46307, 46656, 46685, 46781, 46763, 46549, 46450, 46879, 47410, 47223, 46990, 46853, 46653, 45855, 45396, 45508, 45355, 45296, 45041, 45178, 46086, 45896, 45714, 45458, 45431, 45533, 45653, 45833, 45689, 46126, 45800, 45761, 45739, 45774, 46606, 46409, 46056, 45798, 46396, 45931, 45613, 45683, 45650, 45814, 46573, 46099, 45995, 46110, 46522, 46472, 46405, 46492, 46603, 46325, 46502, 46841, 46632, 46572, 45656, 45319, 45890, 46638, 46660, 46484, 46507, 
60, 50206, 47451, 47865, 47657, 47535, 47375, 47417, 47247, 46355, 45997, 44815, 44763, 44459, 44461, 45056, 44790, 44419, 44060, 43439, 43174, 43688, 43474, 44598, 44519, 45060, 45511, 45575, 45857, 45573, 45475, 45238, 45387, 45313, 45221, 45142, 45157, 45224, 45053, 45276, 45289, 45510, 45462, 45298, 45315, 45165, 45341, 48631, 48411, 45677, 43619, 43695, 44363, 44916, 44678, 44788, 44914, 44802, 44791, 44619, 44985, 45045, 45309, 45422, 46947, 49270, 47858, 47903, 47727, 44593, 43297, 43310, 43306, 43137, 42997, 43073, 43016, 43049, 43084, 42783, 42689, 43117, 42832, 43040, 43055, 40271, 39617, 39826, 41284, 39839, 39524, 39675, 39693, 41174, 50199, 49670, 50159, 50465, 50180, 49762, 49728, 
61, 61, 61, 46594, 48013, 46930, 46117, 43571, 43328, 43581, 43581, 43315, 43175, 47157, 47435, 47529, 47386, 46374, 46617, 46841, 47129, 47081, 47197, 47140, 47810, 47328, 47266, 47656, 47972, 47800, 48017, 47637, 47784, 47946, 47787, 47788, 47752, 47845, 47639, 47257, 47253, 47189, 47015, 46759, 47164, 47372, 47410, 47301, 47648, 47470, 47396, 47380, 47651, 47646, 47912, 47770, 47868, 47633, 47482, 47659, 47524, 47564, 44251, 43504, 44790, 47844, 47696, 43953, 42928, 43220, 43727, 46794, 47851, 47448, 46242, 43755, 43999, 44198, 46605, 46831, 46620, 46203, 46261, 46528, 46531, 46195, 46354, 46439, 46315, 46280, 46287, 46635, 46695, 46720, 46700, 46298, 46283, 46395, 46232, 46309, 46245, 46319, 46180, 
62, 51621, 50965, 50036, 49595, 49312, 48865, 48166, 48180, 47976, 48026, 47932, 47899, 47749, 47422, 47884, 47162, 47515, 47690, 47953, 48152, 48011, 48173, 48367, 47965, 48429, 48625, 48682, 48369, 48312, 48268, 48269, 48194, 47983, 48531, 48642, 48754, 48370, 48612, 48529, 48712, 48391, 45977, 45637, 45773, 45941, 45776, 45762, 45692, 45609, 45554, 45230, 45668, 45412, 46114, 45819, 45534, 45456, 45499, 45510, 45517, 45545, 44197, 43453, 42229, 41791, 41813, 41735, 41757, 44864, 45657, 45754, 45614, 45720, 45664, 45338, 45491, 45684, 45744, 45710, 45623, 45562, 45894, 45980, 45813, 45748, 45559, 45589, 45503, 45578, 45544, 45654, 45520, 45465, 45287, 45492, 45526, 45671, 45906, 45629, 45631, 
63, 55446, 50834, 49994, 48859, 48940, 49179, 48275, 48489, 48052, 47592, 44587, 44145, 43831, 43881, 43472, 43544, 43743, 43579, 44614, 44408, 44492, 44693, 44654, 45797, 45954, 45695, 45703, 45760, 45753, 45596, 45276, 45235, 45272, 45412, 45446, 45718, 45934, 46130, 46016, 45967, 45668, 45624, 46074, 46014, 45696, 45826, 45805, 45737, 45834, 45818, 45607, 45467, 45558, 45657, 45610, 45663, 45359, 45388, 45607, 45486, 45425, 45474, 45612, 45673, 45732, 46109, 46194, 46125, 46196, 45816, 45826, 45622, 45578, 45494, 45490, 45404, 45663, 45696, 45424, 45364, 45352, 45332, 45314, 45353, 45437, 45473, 45498, 45249, 45373, 45153, 44796, 44857, 45060, 45095, 44898, 45233, 45289, 45043, 44930, 44827, 
64, 51535, 48154, 47831, 47729, 46460, 45907, 44977, 44645, 44306, 43763, 43440, 43630, 43158, 43603, 43521, 43794, 43522, 44086, 43818, 44213, 44344, 44946, 45081, 45152, 44831, 45013, 44784, 44766, 44364, 44346, 44446, 44570, 44369, 45285, 45019, 44908, 44492, 44682, 44506, 45037, 44764, 44579, 44721, 44754, 44901, 44662, 44722, 44853, 45050, 44784, 44643, 44542, 48372, 48421, 48268, 47970, 47308, 47263, 47307, 44467, 41828, 42066, 41989, 42577, 42056, 42091, 42087, 42079, 42290, 42189, 42085, 42337, 42141, 47420, 49566, 49337, 45599, 45481, 45413, 45427, 45537, 45341, 44944, 44812, 44843, 44770, 44760, 44684, 42725, 41370, 41849, 41376, 41227, 41805, 42019, 42405, 42116, 42233, 42257, 42407, 
