num_pingsvalue1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
11, 47706, 44829, 43634, 44560, 45936, 45630, 42513, 44828, 45457, 44543, 45345, 45422, 45646, 45593, 45287, 45379, 45122, 45217, 45057, 43316, 44929, 44829, 45083, 45150, 41892, 40062, 41702, 42367, 42744, 45950, 48472, 47602, 46178, 46221, 45710, 46260, 46488, 45688, 45825, 45839, 46360, 46679, 46523, 45325, 45458, 45801, 44936, 45128, 45802, 45901, 46103, 46509, 46409, 46247, 46026, 48817, 47413, 46472, 43477, 44584, 45185, 45542, 45635, 39990, 41795, 42212, 42691, 42464, 41951, 42814, 42688, 43316, 43516, 42600, 43081, 43908, 42998, 43008, 43584, 40968, 43003, 43500, 43496, 43437, 43281, 44139, 44512, 41057, 42581, 43188, 43746, 42189, 42482, 43026, 42632, 40074, 41626, 42973, 42281, 42862, 
12, 38656, 39055, 38810, 38408, 39856, 40150, 39590, 39992, 38327, 38150, 38646, 39110, 39481, 39068, 38809, 39454, 39198, 38955, 39626, 39559, 39518, 40732, 40059, 39213, 40040, 39724, 39876, 40307, 39274, 38835, 38887, 40778, 38577, 41438, 40528, 42571, 42387, 46494, 46440, 41235, 39876, 40929, 43655, 47795, 46683, 42965, 42557, 45879, 44782, 41812, 39608, 38418, 40449, 39596, 38340, 38971, 38713, 38810, 39202, 38864, 38573, 39003, 38599, 38604, 38706, 40056, 39908, 40675, 40261, 39124, 40256, 41609, 39715, 40741, 40409, 40344, 41303, 41199, 39965, 40113, 39782, 40986, 40629, 40769, 40574, 39388, 42045, 40838, 41228, 38780, 40468, 40440, 40344, 40610, 40126, 40155, 38630, 38429, 39744, 39825, 
13, 41674, 40286, 45474, 46386, 46361, 42032, 42976, 42734, 43879, 43468, 44440, 44775, 40937, 40878, 40717, 43688, 40969, 42591, 45116, 45309, 45417, 45266, 45273, 45094, 45220, 42289, 41196, 41019, 44283, 45680, 45598, 45816, 45732, 41785, 39985, 39323, 39237, 39181, 41917, 45667, 40245, 39347, 41428, 40155, 40428, 40543, 45504, 45678, 44330, 41054, 46688, 45526, 44376, 40570, 40493, 41368, 41792, 42271, 45712, 42544, 41392, 44579, 44112, 41980, 42935, 44603, 43600, 44971, 44595, 44677, 44546, 43988, 44789, 44420, 44577, 43847, 41975, 40499, 41042, 46401, 43318, 42079, 45713, 46464, 46340, 43611, 40440, 42333, 42952, 44635, 43792, 43934, 43902, 43406, 42994, 45730, 44989, 43910, 44404, 42860, 
14, 44544, 43382, 43394, 43356, 43047, 42987, 42907, 41697, 45076, 43818, 43838, 44007, 44454, 44361, 45103, 44964, 45825, 45058, 46909, 48158, 45934, 46814, 45479, 45340, 44568, 45374, 45258, 45261, 45013, 45563, 45322, 45260, 46006, 45714, 45841, 46743, 45860, 44763, 43991, 43933, 45963, 46878, 43161, 47561, 47422, 46192, 46320, 45442, 41347, 42037, 40536, 41099, 42659, 42394, 42557, 42464, 41671, 40762, 41193, 42739, 42687, 42650, 42725, 40942, 46010, 45341, 45358, 46624, 45711, 45228, 46594, 46929, 45618, 44175, 45962, 46184, 43831, 45018, 45970, 45633, 47016, 46716, 47022, 46666, 43972, 46517, 44408, 45817, 45642, 43658, 45571, 46318, 45506, 46489, 45055, 45338, 45539, 45580, 47814, 47215, 
14, 45586, 43651, 43082, 42910, 44282, 43576, 41711, 41777, 41492, 43481, 44174, 42983, 42847, 43142, 43076, 43143, 42552, 43021, 43332, 42953, 43313, 43098, 44336, 42221, 42093, 43775, 44914, 44187, 42458, 41943, 42560, 44282, 41865, 44507, 43512, 43925, 43107, 42546, 42008, 43071, 43456, 44264, 43095, 42701, 44263, 41969, 41779, 43514, 45432, 43738, 42997, 41457, 42309, 42962, 41589, 43338, 44061, 43178, 43589, 44049, 45203, 44636, 42653, 43358, 43810, 44139, 44033, 43484, 42764, 43087, 42831, 43178, 41992, 42822, 42132, 42751, 41922, 42183, 41975, 43497, 42974, 43393, 42284, 41563, 42481, 44187, 43612, 43680, 42815, 41982, 43684, 44782, 42100, 42446, 43178, 43077, 43779, 43494, 44293, 45549, 
15, 42564, 40241, 39228, 40350, 39844, 40525, 39793, 41225, 46726, 39831, 39599, 46495, 42925, 47752, 48114, 39838, 39717, 43721, 43713, 45226, 45094, 45278, 45125, 45408, 44905, 44646, 44736, 45970, 45104, 44511, 43520, 44788, 44770, 45066, 45150, 44868, 44797, 42094, 45708, 44763, 43929, 44256, 44853, 44723, 45484, 45000, 44743, 39714, 45153, 44890, 45444, 46203, 46373, 45921, 42764, 42609, 44398, 45278, 44908, 40308, 44242, 45528, 45502, 40669, 45380, 44592, 42983, 40692, 46748, 43487, 42870, 48545, 43512, 40027, 47796, 44105, 41027, 42934, 44155, 40324, 42359, 40451, 47451, 47400, 43061, 46866, 47953, 48007, 44769, 46454, 40874, 40224, 39937, 47656, 47169, 47770, 41995, 40484, 40625, 40432, 
16, 52366, 49372, 48542, 48795, 48802, 48765, 47797, 44212, 44229, 49267, 49578, 49536, 51115, 52168, 53332, 53303, 49614, 47108, 52931, 50242, 53087, 52564, 46681, 47300, 47257, 47150, 47249, 47140, 47166, 47116, 47271, 47390, 47522, 47012, 46633, 46862, 47037, 39920, 51783, 52002, 51670, 52204, 51483, 51956, 52666, 51981, 52580, 52915, 52207, 52996, 52837, 52963, 53282, 52817, 52941, 51788, 52428, 52814, 52688, 52644, 53293, 53422, 50967, 53050, 53593, 52980, 52586, 52343, 50134, 51920, 46847, 41635, 45528, 52741, 52526, 52494, 51651, 51692, 51972, 51208, 50609, 51484, 52101, 52306, 52245, 51797, 52276, 52608, 52762, 52995, 53007, 52703, 51979, 53376, 52205, 51075, 53823, 51324, 51066, 53027, 
17, 49906, 47011, 46846, 46815, 46759, 46790, 47132, 47679, 47713, 47308, 50179, 52585, 52616, 52937, 51588, 52752, 51089, 49163, 48968, 49534, 49586, 49538, 49505, 49562, 49566, 48685, 46148, 43673, 44025, 43978, 44038, 44550, 44569, 46175, 48992, 48410, 48235, 48262, 47685, 41992, 41921, 42073, 46769, 51900, 44341, 45453, 47583, 47867, 46759, 47024, 47042, 46477, 49996, 49398, 50101, 49112, 41995, 42345, 41922, 41260, 46743, 43797, 46689, 47910, 47605, 50209, 49729, 48708, 48768, 48129, 48343, 48415, 50690, 51890, 52084, 52322, 49738, 47654, 47526, 48611, 52320, 45686, 44317, 47571, 48970, 48650, 49361, 49698, 49729, 49216, 48482, 49851, 50532, 49807, 49544, 49462, 49246, 49096, 45344, 41623, 
18, 51043, 50272, 49870, 49122, 49178, 49061, 49058, 42603, 41708, 48384, 50033, 49716, 49619, 49442, 49116, 48295, 48309, 48102, 48472, 50313, 50403, 51076, 51520, 51631, 51620, 50786, 50830, 50642, 50732, 51263, 52122, 51009, 50690, 50549, 51568, 53559, 51588, 50545, 49677, 49464, 49437, 44964, 44463, 44652, 44696, 44598, 42033, 41372, 41902, 42261, 42024, 42361, 41714, 41530, 41766, 41791, 41970, 41946, 41605, 41585, 41458, 41674, 42024, 41727, 41344, 41694, 41148, 41425, 41244, 47439, 50071, 49984, 49797, 49717, 48998, 49550, 50569, 50475, 50446, 49864, 42469, 41060, 45501, 48896, 48462, 48857, 49374, 48838, 48431, 41074, 40677, 40477, 49151, 49755, 50159, 49842, 49796, 47847, 41871, 42334, 
19, 52253, 52319, 52329, 52347, 53192, 53726, 53119, 53170, 50215, 53654, 52960, 52675, 51414, 47677, 53606, 53252, 53486, 56267, 55465, 55635, 55769, 54301, 52805, 52245, 50605, 53560, 53515, 48713, 49037, 49023, 53676, 49041, 49070, 51981, 49405, 48262, 49306, 49383, 49458, 53780, 51836, 51728, 51665, 53354, 53976, 53785, 53830, 55364, 55046, 54272, 53659, 53418, 54036, 53747, 53448, 53364, 53404, 53440, 53574, 53943, 54011, 53487, 53601, 53826, 53886, 53062, 51770, 51691, 52020, 51913, 51885, 52183, 52495, 52467, 52525, 52434, 53217, 52263, 52370, 51176, 54189, 52232, 51273, 45484, 45350, 45382, 45440, 45971, 50122, 50474, 51299, 52762, 51364, 51321, 55874, 57061, 56121, 51347, 51234, 56261, 
