num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 52469, 46657, 46763, 42439, 42438, 42330, 42438, 42592, 41822, 42388, 42344, 42480, 42436, 42160, 42034, 41983, 42490, 42421, 42510, 42426, 42500, 42512, 42454, 42497, 42334, 42439, 42482, 42485, 41606, 42332, 42315, 42149, 42490, 42436, 42530, 42500, 42548, 42334, 42080, 42498, 42508, 42160, 42454, 42274, 42500, 42494, 42278, 42081, 42490, 42450, 42490, 42490, 42498, 42331, 42392, 42474, 42354, 42490, 42518, 42500, 42068, 41661, 42472, 42444, 41876, 41878, 42410, 42514, 42204, 42124, 42504, 42418, 42350, 42214, 42364, 42514, 42474, 42454, 42404, 42440, 41628, 42408, 42032, 42500, 42458, 42300, 42452, 42458, 42490, 42501, 42204, 42538, 42412, 42490, 42374, 42394, 42272, 42320, 42308, 42478, 
2, 82249, 80463, 78470, 78373, 79805, 81482, 82122, 87100, 87234, 87115, 81593, 80139, 79241, 74116, 67298, 77465, 74575, 74656, 74690, 73800, 75620, 79759, 78899, 82315, 84414, 87368, 87725, 88307, 87847, 87798, 88271, 87989, 87333, 87021, 86554, 89406, 89432, 89377, 87684, 87727, 87382, 88339, 89414, 89158, 87872, 87740, 87154, 87682, 87815, 85752, 87392, 87330, 87994, 88194, 88419, 88626, 87812, 86944, 87772, 87333, 88058, 89245, 88829, 87225, 87672, 87184, 86678, 84379, 83361, 87347, 87880, 87993, 88637, 87924, 88878, 86489, 89370, 87963, 88024, 88204, 87627, 87943, 88735, 86611, 86337, 85822, 85844, 86510, 86465, 87929, 88234, 88298, 88252, 89307, 89219, 89355, 87654, 88496, 88857, 90488, 
3, 87478, 87519, 87449, 86412, 85919, 80429, 81851, 76767, 76843, 82448, 84214, 84347, 85648, 90433, 90141, 89636, 89877, 90001, 89824, 89842, 90321, 89182, 88858, 87750, 87161, 86610, 86555, 87499, 90512, 90490, 83798, 81361, 81344, 81385, 85929, 88556, 88318, 86995, 81393, 82966, 84084, 84022, 80773, 79723, 88751, 83694, 75645, 75237, 82762, 75590, 75452, 75388, 75400, 75327, 75401, 76080, 86490, 84290, 84867, 84863, 84991, 85012, 84282, 77695, 79386, 87612, 77964, 85023, 87409, 87704, 89047, 90506, 90640, 90625, 89872, 82261, 83703, 82761, 82500, 87135, 88365, 87548, 88076, 88032, 88089, 88160, 88823, 88326, 88445, 88453, 89230, 88265, 83424, 83813, 84323, 84493, 80603, 86630, 85111, 81369, 
4, 97700, 95121, 93298, 93232, 92979, 97899, 96718, 89098, 92991, 94050, 96539, 96920, 96536, 91251, 86525, 85894, 85908, 100974, 97506, 96375, 94138, 88844, 89029, 88636, 90524, 95204, 94559, 94607, 94954, 92435, 91629, 89511, 78185, 78124, 78186, 78230, 79069, 81325, 81288, 96989, 96910, 96831, 104692, 105921, 106531, 106541, 106353, 106272, 105489, 105591, 106374, 105416, 96254, 89736, 84740, 86169, 87874, 88525, 90510, 93871, 93360, 93481, 93172, 77063, 79524, 79458, 90424, 93926, 93572, 94305, 98955, 96667, 94644, 90538, 90957, 91167, 91413, 96012, 102142, 96357, 95487, 92220, 79372, 80940, 85749, 90306, 91276, 90472, 90642, 93599, 95993, 89760, 82096, 89523, 89724, 89504, 89733, 92312, 94508, 95032, 
5, 99481, 100957, 89999, 89167, 93278, 91349, 87091, 93532, 94732, 93676, 93779, 93772, 94063, 94207, 96324, 96234, 96158, 96391, 96496, 96861, 96919, 96917, 95798, 101156, 93530, 94134, 93186, 96866, 95309, 94365, 90121, 95736, 97782, 97734, 97854, 94894, 97168, 95278, 96591, 97650, 94112, 93357, 96538, 97892, 97358, 94834, 94843, 96754, 98011, 96871, 96877, 96870, 96908, 96506, 96620, 97058, 90678, 88998, 89515, 89263, 89206, 88678, 88834, 88992, 88802, 89424, 89496, 89334, 89541, 89973, 89575, 89760, 89498, 88068, 89037, 89023, 89360, 87751, 89993, 89692, 89556, 88297, 89723, 89665, 86954, 89094, 89348, 89800, 89580, 89150, 88696, 89214, 89831, 89043, 89521, 89840, 89665, 89608, 89196, 88798, 
6, 97308, 95387, 94975, 94965, 95178, 95077, 91686, 86023, 85918, 88228, 96897, 96848, 96437, 95596, 95666, 95535, 95573, 95614, 96150, 95934, 95658, 93532, 83925, 83603, 90470, 92364, 93926, 97092, 93530, 93732, 102557, 100992, 97612, 95898, 88468, 87909, 88893, 92013, 93852, 93426, 92554, 94404, 94734, 95336, 88908, 93453, 94512, 93529, 94570, 96914, 96994, 95824, 97048, 96688, 92750, 92184, 95208, 95642, 96388, 96132, 95588, 96208, 96115, 93023, 93266, 96572, 93021, 82509, 82108, 93604, 91209, 90179, 91821, 91644, 91479, 96385, 95213, 93208, 91910, 91738, 91642, 87570, 81718, 82864, 82026, 82280, 82367, 84165, 87067, 89424, 93381, 94064, 97278, 94846, 93632, 91932, 77717, 80210, 91854, 92468, 
7, 97251, 94057, 94430, 93660, 94830, 94636, 94538, 94882, 92562, 86010, 90590, 93740, 96910, 94404, 88880, 84240, 103980, 98700, 92121, 85559, 81600, 92743, 93091, 90661, 94272, 94161, 94171, 93203, 93843, 92909, 92657, 91863, 90530, 92810, 96290, 96330, 96450, 96570, 96976, 91860, 86420, 83500, 85574, 92457, 87600, 82200, 83857, 84242, 84718, 84063, 88851, 89426, 93638, 97682, 91188, 86739, 87541, 90160, 90100, 93226, 94499, 94627, 94526, 94480, 89950, 89950, 95480, 95271, 95299, 100980, 105987, 91291, 94310, 99001, 105957, 102782, 98450, 98370, 98280, 98136, 98274, 97940, 96480, 94412, 94468, 94554, 94460, 93640, 98750, 98750, 98020, 97600, 94890, 93789, 91681, 91880, 92020, 93560, 94890, 96104, 
8, 98950, 86861, 82658, 82012, 81562, 81938, 82089, 82285, 81598, 80947, 80780, 85470, 89760, 84570, 85130, 80050, 78660, 87990, 95032, 92608, 91780, 81761, 79361, 79257, 79111, 78590, 78550, 81890, 91960, 92010, 91820, 87620, 98510, 97730, 95204, 92210, 85460, 85261, 88629, 94860, 93390, 94190, 93910, 95050, 82280, 80590, 80720, 99450, 95660, 94957, 94813, 94671, 94010, 92980, 92939, 92310, 92980, 92993, 92878, 92215, 93615, 93750, 91477, 90493, 90302, 90191, 90337, 90590, 90950, 83200, 83390, 80403, 82357, 82650, 83309, 98211, 98302, 97569, 98559, 97138, 94313, 94436, 94067, 94433, 91235, 84992, 84040, 83894, 85616, 95900, 95700, 91970, 91690, 93587, 94843, 91552, 91309, 91490, 89813, 85520, 
9, 95644, 84592, 86148, 86300, 86413, 86077, 85983, 85747, 87070, 86382, 83452, 85226, 92450, 93370, 92560, 93580, 96262, 96698, 96720, 96980, 96901, 97959, 105842, 106388, 96850, 95820, 93000, 90890, 93180, 91710, 86580, 86890, 93361, 92579, 87490, 95930, 95750, 95760, 96880, 96300, 96779, 87419, 92742, 93780, 93370, 93260, 94004, 93470, 90069, 87427, 91989, 93731, 94508, 95320, 92978, 94830, 90503, 86281, 86550, 86470, 86190, 92467, 95824, 93783, 93030, 93200, 92350, 92220, 92251, 90199, 86480, 86520, 86592, 87071, 87166, 87211, 89660, 94259, 94411, 94250, 94290, 93121, 91822, 89657, 92290, 95059, 95011, 94323, 93989, 94188, 94790, 94960, 94982, 95268, 94750, 94870, 94591, 94869, 95040, 94710, 
10, 94160, 89970, 84693, 92187, 90450, 89820, 92300, 91812, 94311, 96607, 94891, 97329, 97430, 90580, 94089, 94091, 90250, 94550, 93870, 94660, 94360, 94580, 94490, 93152, 92907, 93647, 88284, 79300, 80340, 89920, 92511, 92299, 92260, 90990, 91170, 91670, 95047, 91750, 86620, 86530, 92730, 94640, 94700, 94240, 93450, 85780, 85551, 86499, 93260, 92470, 92624, 87716, 93460, 93510, 93140, 88901, 86879, 86013, 86547, 85620, 86090, 86140, 86099, 86051, 85721, 85609, 86140, 85703, 86007, 86450, 86211, 86449, 83670, 82366, 82394, 81880, 82400, 85210, 82090, 84161, 86099, 86061, 86049, 85710, 86430, 86610, 86720, 86270, 86540, 85831, 85889, 86450, 86070, 85490, 86412, 87208, 86053, 85657, 85160, 85260, 
