num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5260, 5808, 6077, 6269, 5974, 6396, 6474, 6215, 5946, 6328, 
2, 10200, 11076, 12152, 12553, 11653, 12032, 12172, 12897, 12825, 13452, 
3, 17363, 19156, 19117, 19071, 18556, 19229, 19103, 19412, 18829, 18450, 
4, 23679, 23668, 23540, 23562, 23609, 23790, 23978, 23890, 23496, 23834, 
5, 27247, 27634, 28833, 29458, 30246, 29947, 28055, 29187, 29405, 28737, 
6, 29625, 29280, 29321, 29277, 29429, 29340, 29390, 29216, 29229, 29116, 
7, 32344, 32614, 32492, 32599, 32477, 32505, 32488, 32500, 32508, 32538, 
8, 39359, 39058, 39468, 39387, 39263, 38609, 38904, 39128, 39452, 39312, 
9, 41793, 41083, 40981, 41622, 41838, 42078, 42110, 42961, 43082, 42563, 
10, 40727, 39538, 39337, 39291, 39382, 39354, 39438, 39454, 39903, 39887, 
11, 46795, 42122, 43138, 42698, 42259, 42795, 42826, 41791, 42125, 41641, 
12, 48737, 45373, 45922, 45885, 45786, 45089, 44381, 44410, 44560, 45489, 
13, 49605, 43303, 42843, 41116, 45659, 45074, 44831, 44167, 41736, 41484, 
14, 51569, 45571, 45435, 46224, 46092, 45639, 45541, 45747, 47026, 47298, 
15, 47509, 45990, 41076, 41561, 52924, 53558, 51963, 51168, 50838, 50926, 
16, 50532, 45697, 42918, 42051, 42729, 42588, 42494, 42457, 43103, 44272, 
17, 47378, 45415, 45036, 46267, 46739, 46778, 44320, 44573, 44864, 43081, 
18, 48737, 44825, 44539, 43187, 43313, 44581, 44356, 43752, 42365, 42156, 
19, 49318, 44877, 43466, 43055, 43315, 46301, 46326, 46103, 45696, 45892, 
20, 43809, 41642, 41192, 41781, 41648, 41232, 40976, 40928, 41250, 41275, 
21, 41705, 41278, 41024, 40819, 41431, 41318, 41185, 41197, 41327, 41202, 
22, 52405, 44476, 41469, 41456, 41833, 41536, 49760, 49362, 49070, 47664, 
23, 50864, 47224, 46778, 47098, 46130, 46129, 46033, 44602, 43414, 43050, 
24, 50628, 51400, 49858, 48631, 48345, 48187, 47213, 47028, 46927, 46735, 
25, 49733, 45547, 44884, 45581, 45295, 45610, 45113, 48679, 46500, 45540, 
26, 51108, 46809, 46745, 47023, 46631, 46634, 46995, 46689, 45918, 45730, 
27, 47312, 44380, 43890, 43999, 44431, 46371, 45695, 45439, 45410, 44966, 
28, 51509, 41981, 42233, 41907, 41629, 41676, 41859, 42001, 45687, 45551, 
29, 45689, 44420, 44874, 44930, 44609, 44237, 44694, 44451, 44329, 44474, 
30, 50440, 49542, 48843, 47644, 47140, 43792, 42680, 41633, 44332, 44896, 
31, 51947, 47219, 46927, 47289, 47322, 47197, 46524, 45920, 45350, 45346, 
32, 49356, 45237, 44133, 42812, 41781, 44396, 45770, 45636, 45590, 42916, 
