num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 1106175, 1071668, 1092308, 1087754, 1075587, 1045177, 1051082, 1053764, 1055065, 2106287, 
2, 1370167, 1324187, 1326785, 1328334, 2614991, 3920020, 1306675, 1305347, 1300820, 1288906, 
3, 1364939, 1338978, 1298107, 1282844, 1280570, 1263542, 1240039, 1245521, 1259082, 1278109, 
4, 1454377, 1345314, 1363671, 1381314, 1380894, 1382519, 1385944, 1390665, 1394707, 1383928, 
5, 1397822, 1374564, 1344275, 1347035, 1372735, 1365039, 1339419, 1323457, 1338979, 1336167, 
6, 1397359, 1326478, 2636355, 1319565, 1319115, 2626049, 1312859, 2630293, 1306066, 1322885, 
7, 1456231, 2795607, 1373057, 1382057, 1382788, 1366263, 1367755, 1375386, 1385474, 1389478, 
8, 1424486, 1320543, 1317850, 1326830, 1315203, 1343435, 1327954, 1322770, 1316287, 1305346, 
9, 1453825, 1350503, 1347157, 1325356, 1259638, 1309240, 1312130, 1341250, 1334823, 1363438, 
10, 1406684, 1261670, 1249567, 1228733, 1241933, 1245454, 1242095, 1234339, 1247827, 1233610, 
11, 1453399, 1386262, 1316547, 1338570, 1317057, 1369407, 1369954, 1316334, 1331847, 1342040, 
12, 1344007, 1285817, 1291631, 1275237, 1259269, 1257248, 1269549, 1267621, 1238875, 1227599, 
13, 1354561, 1315109, 1300148, 1295774, 1310555, 1273952, 1280780, 1237519, 2513932, 1279955,
14, 1415160, 1328290, 1313755, 1321942, 1315208, 1297858, 1325051, 1334355, 1319628, 1353374, 
15, 1432637, 1344900, 1349427, 1367276, 1383728, 1341484, 1322920, 1317954, 1284565, 1301197, 
16, 1411887, 1324110, 1337204, 1321336, 2621683, 1309598, 1291337, 1314664, 1325925, 1315831, 
17, 1432016, 1340779, 1310471, 1332543, 1325793, 1313800, 1324615, 1332288, 1323138, 1321582, 
18, 1448130, 1400060, 1396844, 1390843, 1390738, 1388944, 1388869, 1410154, 1400465, 1376778, 
19, 1487036, 1401729, 1384087, 1332725, 1327329, 1346126, 1314420, 1342726, 2697874, 1347532, 
20, 1351105, 1323716, 1323362, 1310982, 1320428, 1303028, 1305685, 1262508, 1295314, 1314297,
21, 1460119, 1335969, 1355080, 1401505, 1398762, 2791596, 1375089, 1350136, 1348614, 1337404,
22, 1436153, 1312817, 1289180, 1306979, 1306476, 1321536, 1323173, 1323297, 1320517, 1312952, 
23, 1342628, 2623327, 1292389, 1295188, 1277451, 2555081, 1277190, 1282497, 1266733, 1258317, 
24, 1436852, 1336651, 1304620, 1323147, 1350505, 1355970, 1333210, 1328651, 1331869, 1342038, 
25, 1340684, 1313628, 1356944, 1381215, 1376658, 1373270, 1366527, 1355713, 1384896, 1384581, 
26, 1417358, 1361343, 1351403, 1321424, 1371356, 1386204, 1386357, 1379152, 1372463, 1359077, 
27, 1426886, 1389260, 1346552, 1332664, 1317351, 1307891, 1280297, 1332106, 1337817, 1345064, 
28, 1439869, 1363960, 1354317, 1374764, 1386169, 1359517, 1351106, 1360391, 1350781, 1353005, 
29, 1346735, 1321915, 2671840, 1375245, 2722582, 1352085, 1361722, 1363349, 1339512, 1343231, 
30, 1464227, 1469575, 1443084, 1431619, 1372464, 1448459, 1397057, 1365902, 1364712, 1392176,
31, 1407047, 1279993, 1300555, 1307794, 1306809, 1308629, 1301021, 1294481, 1296896, 1264633, 
32, 1432773, 1356858, 1317481, 1342685, 1296701, 1279833, 1256274, 1290706, 1299215, 1312592, 
