num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 42117, 40957, 40940, 41772, 41042, 40802, 39290, 40591, 40736, 41414, 
2, 81135, 80084, 78514, 75301, 75217, 83373, 84553, 84958, 87011, 84940, 
3, 105729, 101285, 103291, 102811, 101254, 100927, 103165, 103944, 104098, 104347, 
4, 107942, 101393, 100588, 99603, 105764, 106040, 110200, 112364, 112308, 112104, 
5, 101071, 93864, 95054, 95227, 91988, 93240, 91081, 94733, 92805, 91253, 
6, 113760, 112451, 108158, 108086, 110024, 105944, 104981, 105266, 105420, 105444, 
7, 100497, 106639, 108950, 109478, 109404, 108698, 105990, 103711, 103599, 97438, 
8, 109667, 109460, 111265, 111190, 111030, 111411, 111872, 111800, 112171, 111883, 
9, 111028, 98830, 96391, 105279, 105200, 102250, 103080, 104894, 105466, 105100, 
10, 100977, 93879, 96521, 99710, 99500, 99490, 99070, 99818, 99926, 99470, 
11, 101870, 107070, 108332, 110368, 111740, 107910, 99170, 104068, 106893, 107257, 
12, 99628, 95102, 92200, 92823, 89339, 91658, 94410, 94863, 95817, 97530, 
13, 111249, 90341, 90211, 94109, 99070, 90781, 93959, 93820, 93870, 93834, 
14, 107982, 97255, 93196, 92587, 98523, 103430, 106475, 101525, 104200, 102438, 
15, 95433, 89640, 93965, 92415, 92370, 90920, 89250, 92610, 91441, 91689, 
16, 117702, 112740, 106541, 102459, 104920, 110710, 110911, 112209, 111420, 112450, 
17, 96152, 95171, 98459, 93750, 90060, 91550, 95180, 96160, 98050, 94871, 
18, 104820, 97400, 99790, 99860, 97182, 96385, 97453, 97464, 97642, 99080, 
19, 116912, 111370, 110250, 98010, 99609, 100391, 102230, 102050, 104680, 101944, 
20, 115625, 98930, 98890, 109560, 109580, 99938, 102277, 96254, 97761, 100560,
21, 114673, 106038, 96640, 92327, 92520, 91223, 93756, 93654, 97480, 100160,
22, 99646, 99614, 99446, 98754, 99120, 97292, 96495, 98923, 99589, 98483,
23, 103673, 96726, 102641, 103220, 102460, 122555, 105504, 93201, 100304, 103155, 
24, 97381, 104091, 103390, 102508, 104850, 105680, 107590, 100563, 100228, 107591, 
25, 108077, 105993, 108123, 107969, 108901, 110711, 114168, 105340, 107610, 118160, 
26, 106322, 108380, 111711, 107019, 107637, 105173, 104880, 111180, 112600, 112872,
27, 84960, 86300, 90660, 93020, 92860, 93961, 91829, 92360, 92280, 92820, 
28, 113689, 103803, 110351, 109259, 110570, 112230, 107786, 91284, 94650, 95329,
29, 99250, 88449, 96531, 98030, 94318, 91627, 107765, 106890, 110760, 111141,
30, 101306, 89983, 96110, 104431, 102250, 95424, 109176, 105130, 101158, 95913, 
31, 105230, 99060, 99010, 94200, 93860, 90660, 92533, 93877, 96750, 112529, 
32, 118268, 127379, 125154, 129437, 125390, 126080, 125731, 121809, 111276, 110344,
