num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 205483, 180696, 180611, 180394, 191027, 183719, 183963, 180407, 127995, 167443, 170216, 177325, 179130, 141288, 139637, 139953, 139931, 139785, 152610, 158127, 156767, 157269, 155540, 177575, 159884, 159204, 159442, 160323, 154544, 153899, 158819, 169860, 188478, 165730, 149470, 149167, 149379, 148771, 149424, 149273, 194578, 202992, 161526, 129803, 144755, 147759, 143220, 143042, 143130, 143735, 143440, 146658, 149597, 134124, 130957, 130896, 130412, 130464, 122943, 123708, 127203, 123845, 124055, 124184, 123764, 123414, 123473, 123620, 123819, 124321, 125036, 133103, 133880, 133834, 133519, 133749, 145411, 160477, 160956, 160950, 160774, 160446, 160699, 159608, 151437, 152437, 160951, 146511, 161404, 157968, 123383, 121842, 122087, 141280, 132530, 127305, 127104, 129645, 138368, 150810, 
2, 238155, 226950, 227883, 225569, 217370, 219612, 221052, 221533, 197841, 237429, 237495, 248514, 239278, 237158, 249997, 220776, 245065, 237307, 223832, 216366, 216096, 216559, 215324, 217532, 219104, 218168, 219586, 223313, 219895, 219171, 228639, 225301, 250943, 191468, 209134, 253157, 250073, 237663, 205483, 201595, 181200, 183397, 200982, 242437, 241996, 242011, 238721, 225670, 225388, 224907, 231195, 233321, 231171, 237010, 242350, 199700, 246170, 226703, 185895, 187344, 240792, 249096, 230900, 253502, 234353, 273887, 260774, 239059, 238423, 244878, 246980, 235906, 249911, 248856, 249157, 194809, 208969, 253535, 250810, 248715, 228452, 258034, 254150, 250676, 275677, 275444, 275499, 275066, 275249, 255202, 232184, 231365, 231602, 231810, 231387, 231749, 231979, 231478, 231730, 230984, 
3, 300255, 251885, 260168, 258636, 258738, 188746, 178141, 241430, 238002, 237888, 233065, 234731, 231903, 205206, 180400, 176315, 182951, 183284, 184120, 184022, 214938, 259242, 192739, 181220, 196910, 257361, 222108, 244196, 247571, 237571, 262542, 262018, 251035, 248493, 248084, 247704, 247963, 248772, 247517, 247347, 248176, 248860, 250672, 249204, 249911, 251457, 266356, 251966, 248296, 229088, 233129, 227791, 225386, 225513, 225028, 225047, 225385, 225390, 225391, 225314, 199753, 178148, 177924, 178041, 177856, 177878, 177900, 177964, 177940, 177646, 177631, 177710, 177809, 177213, 177592, 177445, 177875, 177856, 182723, 239180, 227336, 185923, 185051, 185151, 234520, 251831, 247034, 260201, 260966, 267030, 259008, 255693, 195694, 180607, 185887, 212661, 270132, 268305, 247450, 206825, 
4, 306874, 267215, 265119, 266299, 266400, 268323, 267774, 264503, 262536, 270021, 229043, 268303, 268700, 253197, 170986, 176461, 196553, 240017, 184695, 189541, 183727, 177994, 179179, 177900, 178400, 185450, 234191, 282459, 259761, 257125, 256881, 254772, 256395, 254631, 254903, 241068, 236921, 208785, 195352, 193192, 183208, 189603, 188297, 185149, 226581, 255248, 254983, 240675, 265639, 254975, 273458, 269682, 254130, 253630, 225057, 277472, 258075, 222328, 273968, 265054, 253086, 192615, 209445, 221531, 182154, 185209, 237810, 286318, 271762, 329777, 258694, 271800, 270714, 245811, 190525, 215568, 267753, 188093, 180078, 179922, 180685, 180015, 179947, 179653, 180184, 181997, 180136, 183383, 182466, 182534, 181700, 181007, 181093, 180503, 181945, 181757, 180852, 185998, 187300, 188026, 
5, 206285, 190162, 194765, 196846, 197120, 198034, 197000, 196951, 190333, 190716, 197500, 198182, 198994, 199074, 198845, 199516, 199689, 225358, 223143, 198449, 198731, 198519, 196375, 197671, 198579, 210875, 193752, 183401, 183722, 183345, 185480, 184550, 184033, 210430, 212787, 212625, 213350, 215699, 216251, 182875, 190168, 185082, 184250, 184246, 184674, 180420, 180135, 180122, 180136, 180017, 180125, 179902, 180473, 179456, 179919, 180105, 198645, 214210, 213290, 211610, 211015, 211250, 211146, 210854, 210785, 209090, 209125, 209200, 209885, 208790, 205375, 205125, 204616, 204491, 204670, 204832, 205246, 205499, 206003, 205893, 205875, 205870, 206432, 206198, 205875, 206483, 206343, 206080, 206065, 262587, 225687, 225606, 239948, 188500, 195476, 216551, 189045, 184600, 185400, 184750, 
6, 279942, 196397, 237300, 266300, 259500, 253575, 276577, 269022, 276454, 278621, 276927, 209801, 213286, 312606, 205466, 185700, 186239, 185499, 186251, 186697, 187674, 210439, 278561, 277843, 196036, 191268, 239515, 243738, 243673, 243152, 242175, 274352, 207417, 221613, 272345, 272350, 267695, 217824, 261857, 260203, 260018, 265191, 270750, 194352, 182299, 186324, 182177, 182181, 182136, 184383, 184242, 184501, 184222, 184135, 183846, 183579, 184595, 183880, 184284, 184828, 184130, 184434, 183474, 184393, 184968, 184581, 184640, 185950, 185458, 185184, 185397, 184279, 182368, 182432, 183043, 182510, 182658, 229206, 251087, 251296, 251138, 230625, 184792, 186481, 186208, 185174, 185865, 185591, 186021, 185379, 186011, 185381, 185408, 185452, 185496, 200197, 246485, 184841, 204185, 204008, 
7, 314492, 282625, 280683, 283991, 275121, 276091, 267467, 272482, 264571, 212939, 265885, 281433, 289034, 333323, 284635, 284587, 278516, 266232, 298249, 281814, 280986, 281750, 281524, 280891, 280546, 280189, 279924, 280951, 281225, 281218, 281035, 280372, 280971, 272152, 267400, 266619, 259658, 246750, 246926, 247030, 246946, 246538, 246598, 246591, 246586, 246544, 246441, 246214, 246355, 246448, 246383, 247117, 246783, 247100, 246728, 246806, 247481, 247002, 246862, 246949, 246902, 246670, 246750, 246925, 246829, 246704, 246421, 246229, 246311, 246420, 247111, 247278, 246991, 246975, 246456, 246352, 245994, 245804, 245984, 246233, 246228, 246179, 245921, 245993, 245812, 245852, 245723, 246006, 245804, 245959, 246287, 246750, 246544, 246750, 246842, 246833, 246925, 259305, 240057, 249068, 
8, 287537, 249825, 249785, 250790, 250051, 250024, 249850, 226158, 219865, 191116, 191176, 232126, 246916, 248684, 248290, 248180, 229244, 245700, 274469, 277258, 277560, 264008, 263768, 265154, 254590, 254358, 224360, 225780, 272702, 272572, 265828, 205200, 212939, 264593, 264819, 264864, 251380, 247547, 246204, 254791, 273415, 273734, 268763, 269014, 268807, 272248, 192143, 191381, 192072, 192000, 192374, 192405, 192553, 192350, 192190, 192403, 192230, 192747, 192605, 258543, 278850, 233950, 215362, 199085, 192358, 192403, 192529, 192668, 192363, 192624, 192532, 192172, 192024, 192076, 192373, 192462, 192048, 192413, 192681, 192425, 192138, 192220, 192259, 192367, 192269, 191424, 191607, 192050, 191699, 192243, 191799, 193066, 192231, 191289, 191772, 191326, 191542, 191822, 191955, 191355, 
9, 289302, 208799, 186505, 183796, 188148, 187572, 187730, 187650, 188100, 188046, 187523, 187831, 187427, 187512, 187111, 236020, 235941, 235635, 231748, 225119, 234049, 205608, 180404, 179196, 193111, 187637, 187289, 187405, 188092, 207852, 231016, 186707, 202523, 235879, 231964, 232834, 236433, 205348, 211224, 244334, 262302, 220689, 177980, 180496, 183600, 183301, 183224, 183294, 183433, 183381, 183305, 183312, 183975, 183600, 183225, 183525, 187378, 183175, 183172, 183568, 182979, 184001, 185402, 183175, 183405, 184012, 183194, 183414, 183226, 183224, 182986, 182919, 182970, 183350, 187331, 189389, 183873, 183560, 183147, 183069, 183148, 182977, 183312, 183795, 183349, 182948, 183127, 183420, 183421, 183959, 183371, 183754, 183056, 184819, 176100, 182920, 183153, 182328, 208124, 236131, 
10, 322696, 246142, 246445, 246913, 246772, 246728, 247000, 247205, 259545, 258250, 270133, 248842, 206450, 183575, 198372, 238628, 245594, 246906, 247500, 176500, 171669, 212365, 215628, 206847, 253855, 253118, 253071, 197024, 179335, 178927, 179223, 197555, 235171, 235335, 235627, 241313, 207409, 183499, 206914, 238975, 240196, 261528, 245046, 240250, 240299, 260741, 216671, 199645, 270010, 261582, 213592, 185571, 185694, 185306, 186123, 185617, 226696, 188289, 184843, 185346, 205881, 239767, 240055, 262063, 183438, 181524, 183768, 183794, 215674, 253326, 253057, 184994, 184708, 184492, 184570, 184945, 184879, 184754, 184074, 184696, 191661, 263121, 230257, 253654, 243491, 174495, 177744, 182338, 182320, 184373, 185526, 185465, 185316, 184813, 185393, 184938, 185287, 185217, 185330, 185250, 
