num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
40, 255464, 176266, 142849, 152012, 155980, 147260, 142351, 149190, 147146, 149045, 192320, 153375, 150869, 147313, 146474, 148358, 151255, 145633, 145134, 149267, 151968, 150855, 147062, 147017, 151116, 150976, 151590, 151985, 150852, 151621, 151574, 151896, 150410, 146365, 147381, 144212, 148909, 151728, 152888, 151469, 151843, 149154, 152718, 150967, 154667, 181852, 191472, 192094, 214655, 245645, 203860, 207313, 204618, 202564, 203363, 201519, 205419, 199676, 202831, 202653, 193287, 188606, 189417, 186389, 185103, 185117, 182115, 181745, 191171, 154154, 153576, 156519, 158289, 157139, 155823, 157413, 159180, 159400, 155843, 156762, 156795, 157141, 155269, 151994, 151573, 152322, 152155, 151823, 152481, 150965, 151707, 151630, 151766, 151323, 151081, 151296, 151381, 151209, 152445, 151386, 
41, 209542, 146609, 153816, 157071, 155868, 154173, 154034, 154602, 155535, 157938, 162502, 162386, 161129, 161314, 158496, 157934, 159672, 161248, 160731, 161827, 161617, 159885, 156765, 156477, 158419, 160436, 161237, 162381, 162430, 162586, 153569, 153063, 155208, 154945, 155366, 154017, 153399, 146914, 149844, 153990, 154086, 154599, 155672, 155012, 155062, 148652, 152797, 149550, 153706, 153812, 153837, 153513, 154586, 152888, 152557, 153349, 153463, 153916, 151694, 151880, 154527, 153981, 155567, 160266, 159204, 159640, 160288, 160762, 160399, 159676, 158781, 159444, 159824, 159498, 157771, 159293, 159994, 158888, 159953, 161014, 160395, 158888, 160954, 158904, 148868, 146595, 153120, 154601, 154207, 158512, 151121, 153045, 154985, 155153, 156800, 157984, 153730, 153000, 153245, 144756, 
42, 242735, 161134, 150154, 155648, 149778, 149207, 154616, 153124, 148228, 149297, 147393, 149404, 161932, 155591, 152061, 155878, 162726, 168547, 167261, 168362, 154968, 153251, 154840, 154162, 155857, 154904, 153209, 148074, 151143, 154730, 154081, 154467, 154596, 152697, 153223, 154018, 154199, 154680, 153579, 153448, 149434, 148309, 149907, 147318, 145058, 148526, 152110, 152570, 153642, 152138, 152312, 151386, 150746, 152282, 156650, 143148, 146766, 150857, 155458, 157312, 155796, 154311, 152155, 151421, 149018, 140668, 147438, 179585, 191604, 160218, 152342, 154376, 153679, 154925, 155116, 198158, 193861, 195216, 189921, 187187, 187371, 188060, 203409, 237485, 177078, 144613, 145411, 147460, 151934, 152893, 152067, 198843, 218494, 180451, 181324, 184049, 187440, 191026, 191516, 191227, 
43, 152556, 159390, 150980, 154081, 148294, 155087, 154519, 160149, 158256, 141428, 141577, 151142, 160978, 159750, 136386, 147073, 152643, 151668, 151948, 150993, 151372, 151849, 151413, 151272, 138810, 145099, 139007, 146397, 148685, 146678, 148889, 153675, 144714, 149492, 180094, 175241, 174935, 175228, 174073, 174428, 160397, 148950, 148226, 148135, 148047, 148222, 148434, 148513, 148029, 148489, 217302, 200762, 211686, 212339, 188558, 186961, 188658, 190306, 191848, 139044, 146605, 147201, 147853, 145399, 146147, 147026, 148937, 148181, 148918, 148368, 149101, 148947, 148390, 147877, 147810, 146063, 147468, 148229, 161078, 194846, 191565, 190097, 189575, 189300, 190669, 191060, 190889, 190186, 190678, 190748, 191868, 188381, 189736, 189927, 187475, 188571, 189893, 187926, 188253, 188902, 
44, 215495, 192336, 157160, 152450, 154871, 155198, 152957, 155571, 155591, 157927, 155588, 152385, 154702, 154116, 154581, 156047, 155837, 156122, 156117, 155392, 155982, 154955, 158267, 157871, 156072, 154456, 154553, 158042, 158598, 158609, 157469, 154167, 158055, 157441, 157705, 155752, 155530, 155825, 156729, 155998, 156580, 155517, 154828, 152137, 150433, 154501, 155229, 155607, 154976, 156265, 150723, 156896, 157973, 158066, 157982, 158007, 158627, 157008, 157109, 158249, 158043, 157636, 158719, 158088, 157906, 157568, 257497, 204001, 217527, 183201, 170290, 188535, 185246, 185105, 181051, 181877, 181752, 174210, 156384, 166645, 200902, 155347, 174885, 198721, 199318, 183106, 149484, 148515, 145607, 156669, 157173, 153736, 152386, 155222, 155522, 155637, 167524, 197587, 198346, 198344, 
45, 196644, 178399, 149717, 151422, 151204, 152385, 150978, 151147, 148251, 180127, 204489, 204378, 202531, 204619, 192011, 155450, 156505, 155472, 155676, 155870, 157365, 169243, 204835, 207431, 205217, 201045, 202285, 207763, 207886, 184625, 151865, 152184, 151592, 166070, 209207, 209629, 208638, 206548, 248126, 205428, 207099, 208843, 207067, 205899, 207457, 191479, 202640, 270445, 246579, 216389, 217686, 247570, 266667, 269413, 266797, 269612, 254959, 211811, 156257, 155785, 154609, 154471, 154989, 157724, 157140, 152119, 153574, 148670, 150768, 195027, 176027, 156264, 157923, 157749, 155394, 156021, 157245, 156945, 150836, 157836, 157617, 167555, 215553, 213633, 217672, 169798, 152113, 152361, 152359, 151074, 150498, 148301, 150202, 150335, 183877, 199272, 198265, 198257, 189122, 154050, 
46, 177746, 173048, 185913, 186703, 180172, 178701, 177719, 159116, 151463, 175447, 192374, 192229, 189558, 180573, 173089, 169519, 183346, 182116, 183478, 184808, 183414, 187580, 189098, 185060, 185088, 185334, 185846, 186008, 183229, 183550, 189593, 193272, 193406, 193137, 192058, 182601, 189873, 191142, 189482, 190028, 189186, 188959, 189056, 189049, 189628, 189374, 189126, 189361, 189247, 187552, 189219, 188266, 188866, 187152, 189601, 193209, 195652, 192905, 192317, 192346, 188220, 178715, 180411, 179946, 179861, 180103, 188255, 194873, 193783, 187061, 186975, 192217, 192954, 192042, 191157, 191859, 194081, 195261, 193657, 192811, 194008, 196377, 196041, 196051, 193467, 192608, 190767, 183874, 184825, 185003, 185911, 194742, 156146, 173306, 180121, 180141, 179966, 180382, 180731, 180546, 
47, 195418, 169222, 171068, 169191, 168532, 169985, 175920, 177795, 178547, 181645, 182900, 183658, 183423, 180283, 182529, 184892, 184557, 184198, 184839, 184641, 190487, 191879, 193437, 193016, 193517, 192816, 192569, 192653, 193902, 193346, 191992, 193731, 193557, 192761, 194600, 193016, 193296, 192897, 192846, 192500, 192781, 192276, 190299, 193126, 191879, 205866, 179104, 179130, 180279, 180386, 179964, 180321, 180928, 181082, 181639, 189637, 192704, 189963, 187667, 184402, 179850, 180957, 181174, 182834, 183038, 182855, 196758, 193390, 193133, 193059, 194816, 195936, 195440, 193526, 191913, 192890, 192893, 194185, 193589, 192554, 196731, 193527, 193388, 192825, 190670, 188807, 190950, 194397, 191849, 190279, 193142, 192831, 191726, 191299, 195930, 194604, 195349, 195921, 196439, 194296, 
48, 203739, 155209, 151423, 161417, 180567, 182144, 183297, 198665, 184947, 180711, 181149, 180336, 180030, 180352, 183804, 185027, 186032, 187069, 187336, 188655, 188995, 188004, 189552, 188631, 189390, 189010, 188615, 187764, 184537, 183721, 182249, 182813, 179914, 178796, 184819, 185660, 185308, 198473, 198400, 198268, 198721, 196953, 198160, 199187, 199125, 195381, 194059, 195295, 194017, 190622, 188643, 187618, 186927, 187809, 186938, 185219, 191557, 182454, 184685, 187045, 185346, 185965, 186574, 186263, 184882, 192634, 195168, 185403, 202399, 206595, 199481, 184784, 185986, 187158, 185562, 190736, 191983, 190877, 192934, 193170, 219710, 206901, 197168, 204978, 203586, 200582, 185003, 156687, 157087, 182361, 152971, 173793, 203991, 204027, 203990, 206399, 204184, 203245, 202241, 199474, 
49, 255837, 197463, 195808, 192594, 177690, 177216, 178266, 158475, 148295, 150941, 182161, 193469, 193210, 196050, 155324, 145356, 155988, 174361, 175166, 175099, 176645, 169224, 175871, 185959, 192102, 185056, 176171, 184360, 193263, 193361, 193855, 193315, 190814, 190820, 191885, 191626, 192508, 194541, 193709, 190926, 191530, 191992, 192118, 191948, 192142, 190664, 196728, 197426, 188931, 177492, 176533, 192220, 191469, 192419, 196273, 195722, 195305, 191750, 180952, 174522, 175098, 174878, 175042, 174668, 175638, 175622, 175275, 176972, 176629, 176692, 176907, 187214, 194112, 197486, 199801, 189612, 188648, 188851, 189079, 199643, 205560, 205407, 191051, 188581, 188578, 189620, 188258, 191164, 200694, 200805, 197678, 196503, 200581, 201767, 203592, 204686, 190032, 185989, 185847, 185367, 
