num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10,
1, 5149, 5454, 5914, 5938, 6010, 6015, 5903, 6005, 5859, 6020, 
2, 11169, 12228, 12131, 12632, 11923, 12275, 12208, 12136, 11916, 11952, 
3, 16076, 17582, 17875, 18067, 18424, 18271, 18440, 18390, 18209, 18359, 
4, 25016, 25297, 25150, 25506, 25358, 25305, 25346, 25246, 25402, 25379, 
5, 29127, 30043, 30190, 29897, 29567, 29495, 30027, 30641, 30623, 30298, 
6, 33335, 33833, 33637, 33909, 33969, 34030, 34522, 34315, 34331, 34079, 
7, 38614, 39369, 39561, 40072, 39519, 38973, 38940, 39032, 39261, 39284, 
8, 39230, 39257, 38942, 39093, 39788, 39366, 39718, 39107, 39786, 39759, 
9, 45999, 45810, 46828, 46656, 46086, 46244, 46589, 46340, 46468, 46711, 
10, 50283, 50352, 50866, 50988, 52289, 52572, 51829, 52404, 53253, 49394, 
11, 53462, 51887, 51770, 52233, 52162, 51670, 47547, 50046, 50359, 51894, 
12, 49550, 48632, 49346, 49635, 49773, 49793, 49682, 49638, 49521, 49594, 
13, 56013, 54368, 52321, 52354, 52515, 52663, 52715, 53009, 53756, 53598, 
14, 57618, 57317, 57363, 55713, 56765, 56469, 55879, 55164, 55191, 56060, 
15, 57781, 55394, 54860, 55000, 54331, 54646, 54750, 54750, 55179, 55330, 
16, 59371, 57606, 56307, 55190, 55250, 57220, 58188, 58712, 59689, 59732, 
17, 60659, 53666, 53313, 52357, 51674, 51309, 51643, 51902, 52193, 53145,
18, 65931, 63540, 64740, 62659, 61013, 61429, 61317, 61405, 61709, 61983, 
19, 58456, 53632, 54902, 55684, 56713, 56573, 55697, 55995, 55928, 56122, 
20, 63061, 56739, 56123, 56070, 56043, 56363, 56863, 56585, 56366, 56195, 
21, 61827, 59176, 57660, 55832, 56323, 57494, 57300, 59678, 59834, 60172,
22, 67731, 59115, 57111, 55413, 55441, 55820, 56004, 55641, 55375, 55141, 
23, 59353, 56226, 55460, 56219, 55560, 54936, 55529, 56607, 57129, 56780, 
24, 59401, 57463, 57282, 57087, 56376, 55510, 55618, 56302, 56187, 56343, 
25, 61895, 59991, 59354, 59515, 59464, 58914, 58483, 58731, 59721, 59552,
26, 62623, 57178, 56128, 55817, 55471, 54999, 55105, 56377, 56359, 56165, 
27, 58217, 56015, 55609, 55577, 55657, 55063, 54796, 54934, 55114, 54912, 
28, 57500, 55719, 54453, 53961, 53482, 53592, 53590, 54717, 54274, 54223, 
29, 65343, 56742, 55179, 54833, 55183, 56363, 55212, 55421, 60202, 61064, 
30, 62826, 55199, 54133, 54326, 54322, 54899, 57567, 57634, 55607, 54661, 
31, 59605, 59901, 59017, 57470, 55976, 56120, 55559, 55679, 57308, 58403,
32, 64459, 57903, 58182, 58031, 58917, 57486, 56448, 56093, 55653, 55779,
