num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
46, 40708, 39761, 38896, 38911, 38151, 37763, 37016, 36395, 36280, 35913, 35967, 35833, 36496, 36597, 36884, 37154, 37189, 37340, 37347, 37319, 38054, 38076, 38267, 34668, 37427, 37286, 37685, 35998, 35896, 35691, 35337, 34900, 34411, 34845, 34891, 35992, 36664, 36860, 37564, 37509, 37597, 37771, 37626, 37371, 37544, 37280, 37317, 37370, 37298, 37808, 37830, 37737, 38102, 36546, 37674, 37611, 37318, 37534, 37558, 37160, 37461, 37700, 37388, 37406, 37346, 37331, 37657, 37736, 37452, 37402, 37545, 37480, 37406, 37319, 37460, 37570, 37724, 37789, 37904, 38005, 38191, 38235, 38158, 38251, 37888, 38001, 38067, 37360, 37499, 37565, 37619, 36791, 35784, 35383, 35901, 35712, 35425, 35598, 35804, 35518, 
47, 40786, 37807, 37171, 36799, 36420, 36217, 36134, 36123, 35790, 35356, 35135, 35051, 35090, 34956, 35184, 35314, 35160, 35576, 35886, 35927, 36256, 36242, 36463, 36018, 35953, 36199, 35904, 36162, 36303, 36202, 36738, 36394, 36230, 36017, 35924, 35941, 36271, 36137, 36360, 38352, 38326, 38195, 38361, 38177, 38154, 38084, 38031, 38229, 37974, 38095, 38514, 38391, 38542, 38404, 38208, 38208, 38276, 38108, 38287, 38135, 38290, 38556, 38502, 38608, 38387, 38078, 38080, 34578, 32031, 33775, 38184, 37787, 37999, 38019, 37879, 36909, 36613, 36932, 37936, 39023, 38849, 38904, 38719, 38737, 38714, 38971, 38548, 38642, 38734, 38754, 38541, 38699, 38795, 38745, 38740, 38749, 38765, 38718, 38543, 38587, 
48, 40861, 38632, 38571, 37169, 36720, 36628, 36536, 36456, 36969, 36899, 36669, 36558, 37122, 36923, 36594, 36727, 36671, 37012, 37003, 37021, 37650, 37053, 36899, 36807, 37011, 35203, 34914, 35097, 35189, 35144, 35361, 35328, 35118, 35161, 35301, 35341, 35310, 35392, 35649, 35450, 35202, 32846, 32644, 36776, 38594, 38276, 38028, 38316, 38426, 38228, 38436, 38734, 38966, 38639, 36657, 35171, 35697, 35945, 33725, 33317, 33119, 32990, 32995, 32978, 32283, 35419, 36824, 37067, 37062, 36964, 37004, 36961, 37149, 36990, 37023, 36784, 37170, 37271, 37236, 37263, 37198, 37222, 37152, 36409, 36701, 36971, 36924, 36878, 36749, 36368, 36465, 36249, 37192, 36684, 36578, 36459, 36291, 36126, 36242, 36651, 
49, 40784, 39484, 32919, 31677, 31890, 32905, 37967, 37120, 36634, 36479, 36136, 35709, 36522, 36138, 36680, 36736, 36961, 37037, 37753, 37915, 37819, 38251, 38339, 38170, 37729, 37561, 37684, 37667, 37507, 37460, 37382, 37409, 37590, 37515, 37268, 37389, 37273, 37351, 37699, 38122, 38112, 37868, 37647, 38273, 38663, 38455, 38079, 38364, 38166, 38169, 38109, 38155, 38012, 38414, 38358, 38361, 38688, 39016, 38531, 38535, 38474, 38211, 38142, 37785, 37457, 37233, 37067, 37082, 36347, 36072, 36082, 36099, 36127, 36553, 36747, 38887, 38816, 38834, 38612, 38625, 38517, 38106, 38048, 37030, 36978, 38731, 38318, 38300, 38577, 37763, 38137, 38215, 38324, 38067, 37887, 38385, 38607, 38489, 38342, 38219, 
50, 37929, 36103, 34800, 34420, 34008, 33972, 33851, 33753, 33729, 33683, 33471, 33142, 33541, 33598, 33711, 33681, 33640, 34003, 33829, 33955, 34414, 34661, 34705, 34270, 34869, 34962, 35131, 34938, 34246, 34079, 34547, 34686, 34645, 34658, 34495, 34394, 34255, 34287, 34287, 34484, 34322, 34312, 34251, 34419, 34296, 34405, 34401, 34455, 34340, 34206, 34121, 33997, 34009, 33808, 34259, 34189, 34219, 34382, 34359, 34280, 34386, 34207, 34459, 34389, 34371, 34279, 34330, 34374, 34455, 34442, 34371, 34558, 34353, 34354, 34212, 34228, 34306, 34103, 33209, 33231, 33212, 33164, 33244, 33224, 34399, 36617, 36413, 36142, 36341, 35834, 35908, 35924, 35865, 35835, 35789, 35737, 35871, 35559, 35571, 35376, 
51, 41492, 39761, 38989, 38367, 37466, 37113, 37038, 38082, 37668, 38245, 38259, 38157, 37947, 37661, 39185, 39541, 40695, 40709, 40791, 40972, 40298, 39741, 39679, 39722, 39651, 39669, 39623, 39297, 39110, 39253, 39159, 39262, 39545, 39103, 39270, 39402, 39063, 39002, 38916, 39005, 39160, 38982, 38833, 38846, 38729, 38976, 38922, 39244, 39509, 39275, 39266, 39444, 39803, 39692, 39541, 39611, 39425, 39530, 39577, 39571, 39352, 39098, 39340, 39192, 39199, 39267, 39286, 39332, 39126, 39326, 39227, 39196, 39674, 39652, 39893, 40096, 40036, 39864, 39863, 39852, 39861, 39930, 39732, 39736, 39556, 39602, 36091, 32892, 33066, 32660, 32850, 32834, 32562, 32485, 33623, 38905, 38711, 38559, 38754, 38432, 
52, 42365, 40580, 39149, 38747, 38096, 36459, 35218, 35134, 34566, 34573, 34705, 34864, 34655, 35338, 36034, 35893, 35869, 35974, 35579, 35614, 35809, 35859, 35912, 36010, 35846, 35339, 34377, 34770, 34919, 34568, 34298, 33965, 34150, 34094, 34176, 34332, 34419, 34353, 34200, 33922, 34045, 33813, 33772, 33853, 33792, 34432, 34372, 34471, 34415, 34468, 34381, 34511, 34436, 34273, 34426, 34315, 36224, 36312, 35392, 35379, 35028, 34130, 33769, 33823, 34053, 34012, 34205, 34084, 34013, 34091, 34137, 33543, 35625, 36096, 36390, 36551, 36508, 36465, 35487, 35119, 34937, 34982, 34687, 34671, 34729, 34553, 34727, 34627, 34757, 34869, 34846, 34723, 34601, 34598, 34304, 34381, 34490, 37865, 37962, 37927, 
53, 42748, 38225, 36685, 35822, 35229, 35081, 34904, 34747, 33733, 34436, 34563, 34798, 34572, 35805, 35416, 35631, 35414, 35260, 35603, 35879, 35911, 35897, 35829, 36089, 36444, 36198, 36300, 36029, 36295, 36130, 35959, 36230, 36257, 36039, 35765, 35879, 36172, 36366, 36221, 36520, 36422, 36393, 36336, 36497, 36402, 36631, 36760, 36671, 36741, 36506, 36041, 36151, 36261, 35992, 36059, 36046, 35877, 35933, 35960, 35987, 36104, 35929, 35710, 35283, 32324, 30903, 30168, 30142, 30086, 30112, 29908, 32633, 34574, 35595, 35084, 35454, 35180, 35006, 35469, 35364, 35002, 34553, 34678, 34822, 34272, 34779, 35608, 35589, 35538, 35627, 35518, 35562, 35055, 35510, 35490, 35294, 35535, 35515, 36382, 36576, 
54, 43351, 38722, 38132, 37892, 37666, 36576, 35856, 35750, 35618, 35914, 35647, 35711, 35570, 36814, 36514, 36523, 36470, 36068, 36654, 36764, 36876, 37465, 37505, 37745, 37970, 37820, 37862, 37804, 37865, 37864, 37966, 37921, 37650, 37418, 37536, 37478, 37573, 37662, 37530, 37699, 37528, 37359, 37718, 37441, 37135, 36932, 36997, 36957, 37016, 37088, 36803, 36718, 36649, 36784, 36605, 37031, 37330, 37361, 37464, 37621, 37694, 37404, 37159, 33333, 32071, 32234, 38151, 37791, 37385, 37532, 37296, 37147, 37422, 37489, 37446, 37576, 37443, 37527, 37456, 37464, 37512, 37742, 38038, 37803, 37469, 37185, 37666, 37411, 37465, 37763, 38108, 37850, 37288, 37276, 37090, 37224, 37022, 36896, 36807, 37262, 
55, 40005, 37967, 38132, 38118, 37960, 36881, 35648, 35374, 35297, 37154, 37357, 36893, 36945, 37211, 37330, 37052, 37081, 37235, 36946, 37809, 37937, 38272, 38299, 38306, 38369, 36260, 35943, 35748, 36011, 35880, 35808, 35861, 35958, 36013, 35895, 38206, 37829, 37836, 37693, 37909, 35462, 35805, 35663, 35773, 36052, 35875, 35804, 35809, 35777, 35641, 35892, 35805, 35843, 35770, 35596, 35563, 35494, 35534, 37612, 37540, 37612, 37553, 37366, 37542, 37568, 37587, 37888, 37639, 37691, 37689, 37575, 37389, 37223, 37267, 37537, 37340, 37602, 38035, 37986, 38128, 38112, 37958, 37969, 37859, 37921, 38068, 38174, 37796, 37498, 37477, 37630, 37674, 37729, 37628, 37659, 37646, 37723, 38092, 38087, 38019, 
56, 39930, 37526, 36165, 34880, 35068, 35187, 34574, 33853, 34204, 35408, 35131, 35132, 34888, 34343, 34844, 35195, 35355, 35511, 35691, 35932, 35850, 36120, 36143, 36287, 36159, 35947, 36080, 35487, 35434, 35065, 35091, 35350, 35329, 35168, 35220, 35030, 34968, 35038, 34901, 35048, 35130, 35054, 35136, 35215, 36365, 37007, 36980, 37144, 36996, 36980, 37074, 37214, 36861, 37124, 37125, 36952, 36916, 37272, 37093, 37177, 37183, 36887, 36921, 36902, 36093, 35429, 35294, 35517, 35664, 34331, 34396, 34451, 34422, 34269, 34434, 34360, 34511, 34525, 35586, 37801, 37732, 37759, 37630, 37473, 37561, 37531, 37388, 37365, 37434, 37408, 37323, 37359, 37366, 37481, 36168, 35657, 35585, 35495, 35792, 35515, 
57, 36993, 35370, 35818, 34799, 33530, 32440, 32170, 31958, 32667, 32810, 32453, 31904, 32434, 32176, 31509, 32250, 32403, 32387, 31847, 32763, 32266, 32430, 31761, 32330, 32573, 32598, 32398, 31694, 31650, 31788, 31833, 32360, 32357, 31886, 31697, 31822, 32217, 32639, 31804, 31793, 32241, 32230, 31776, 33939, 33742, 33636, 33522, 33252, 33202, 33155, 33187, 34400, 35277, 35916, 36101, 36109, 36363, 36413, 36626, 36210, 33975, 34004, 33842, 34173, 34175, 34061, 34034, 33955, 33976, 32638, 32195, 32214, 32252, 32263, 32296, 32278, 32271, 33886, 33736, 32608, 32223, 32207, 32222, 32164, 32124, 32194, 32317, 32263, 33740, 33929, 34037, 34090, 34242, 33915, 33958, 33825, 33937, 33939, 34012, 34187, 
58, 35475, 33604, 33223, 33682, 34110, 34069, 34185, 34127, 34457, 34628, 34386, 34256, 34259, 34326, 34440, 34380, 34836, 35028, 34981, 35108, 34953, 35143, 34902, 35155, 35075, 35098, 35145, 35108, 35029, 35262, 34897, 35063, 35051, 34961, 34993, 34972, 34999, 34909, 35047, 35545, 35318, 35293, 35085, 35223, 35470, 35386, 35384, 35272, 35136, 35133, 35212, 35010, 35163, 35299, 35205, 35297, 35428, 35101, 35147, 35354, 35680, 35736, 35833, 35735, 35772, 35864, 36137, 36158, 35958, 35221, 34901, 35389, 35406, 33548, 33622, 33786, 33756, 33737, 33884, 33837, 33481, 33457, 33633, 33660, 32662, 32388, 32786, 32523, 32439, 32244, 33128, 34740, 34898, 34054, 33821, 36029, 35772, 35679, 35691, 35613, 
59, 31534, 30664, 30604, 30606, 30573, 30665, 30496, 30636, 30811, 30743, 30603, 30436, 30274, 30294, 30439, 30542, 30566, 30452, 30432, 30620, 30557, 30544, 30582, 30500, 30232, 30461, 30440, 30339, 30398, 30395, 30394, 30424, 30218, 30395, 30679, 30848, 30926, 30872, 30744, 30715, 30755, 30830, 30518, 30397, 30384, 31050, 31153, 30690, 31781, 31882, 31822, 31954, 31930, 31793, 31750, 31735, 31792, 31856, 31898, 31911, 31863, 31830, 31695, 31752, 31547, 31584, 31425, 31526, 31476, 31587, 31510, 31604, 31618, 31981, 32369, 32485, 32321, 32382, 32405, 32412, 32297, 32261, 32186, 32426, 32414, 30943, 30402, 31208, 33221, 33324, 33776, 33852, 32575, 32568, 32713, 32332, 32758, 32504, 32088, 33618, 
60, 39591, 38347, 38119, 37921, 37483, 37315, 37196, 37201, 37133, 37122, 37430, 37451, 37297, 37190, 37291, 37019, 36460, 36886, 37083, 35827, 35580, 35181, 35542, 35259, 35527, 36034, 36033, 36478, 36318, 36231, 36284, 36203, 36128, 36344, 36363, 36342, 36192, 36235, 36211, 36105, 36284, 36387, 36377, 36402, 36479, 36156, 36032, 36058, 36238, 36305, 35999, 36154, 36180, 36199, 36112, 36147, 36027, 35939, 36123, 36134, 36085, 36112, 36224, 35979, 36066, 35984, 36237, 36185, 36067, 36191, 36205, 36241, 36078, 35970, 36050, 36001, 36221, 36212, 36106, 35995, 36057, 36273, 36427, 36457, 36413, 36395, 36354, 36383, 36086, 36350, 36483, 36378, 36426, 36450, 36447, 36440, 36421, 36168, 36075, 36068, 
61, 31477, 30351, 31847, 37492, 37719, 37234, 36659, 35971, 36086, 36107, 30930, 31040, 31011, 30688, 30931, 30834, 30246, 30785, 30450, 30599, 30849, 30469, 30747, 30799, 30503, 30758, 31013, 30637, 30896, 30811, 30593, 30999, 31099, 30742, 31044, 31020, 30673, 30808, 30598, 30570, 30942, 30805, 30777, 30755, 31058, 31317, 31174, 30912, 31221, 31144, 31017, 30975, 30982, 30741, 30933, 31047, 30928, 31215, 31199, 30970, 31147, 30717, 31015, 31010, 30657, 31216, 31078, 30634, 31146, 31040, 30970, 30972, 30919, 30902, 30957, 30946, 30800, 30953, 30825, 31200, 31050, 31881, 31936, 31969, 31548, 31823, 31811, 31784, 32057, 32012, 31691, 31921, 31761, 31495, 31635, 31648, 31634, 31910, 32026, 32223, 
62, 40949, 38033, 37079, 36389, 36424, 35965, 35965, 35502, 35353, 34761, 34953, 34871, 35064, 34811, 34918, 35063, 35175, 34638, 34526, 34937, 35165, 35157, 35573, 35584, 36354, 36681, 36647, 36433, 35725, 35670, 35763, 36396, 35628, 36317, 36045, 35704, 35799, 35713, 35713, 35900, 35893, 35944, 35822, 35681, 35751, 36881, 36849, 36994, 36935, 36920, 36886, 36951, 37046, 37068, 36905, 37406, 37194, 37383, 37252, 37085, 36972, 37096, 37236, 37257, 37327, 37173, 37136, 37346, 37260, 37359, 37260, 37218, 36044, 35785, 35552, 35555, 35446, 35518, 35497, 35348, 35267, 35190, 35176, 35204, 35156, 35312, 35331, 35465, 35705, 35674, 35616, 35518, 35700, 35616, 37493, 37441, 36654, 36053, 35871, 35900, 
63, 40670, 37382, 35581, 33437, 31787, 32361, 32467, 32546, 32525, 31873, 36023, 36030, 35745, 35624, 35391, 35725, 35653, 35489, 35817, 35611, 35602, 35139, 34474, 35114, 35131, 35298, 36244, 35218, 34909, 34945, 35085, 34904, 34919, 34808, 34755, 34477, 34656, 34490, 34629, 34938, 34703, 34729, 34662, 35707, 35783, 35835, 35838, 36002, 36232, 36203, 36047, 35998, 35842, 35898, 35820, 35790, 35585, 34476, 34459, 34410, 34407, 34440, 34377, 34388, 34687, 36263, 36085, 34028, 33324, 34973, 36852, 36732, 36738, 36693, 36772, 36759, 36804, 36283, 35058, 35094, 35067, 35048, 35056, 35050, 34980, 35100, 35022, 35053, 34981, 34869, 34887, 34960, 35109, 36837, 36803, 36696, 36735, 36936, 36825, 36754, 
64, 40123, 38226, 37182, 36240, 36260, 36128, 35826, 35707, 35709, 35536, 34933, 34851, 34868, 35058, 34956, 34786, 34964, 34759, 35199, 34737, 34610, 34560, 34535, 35502, 35649, 35409, 35615, 35354, 35224, 35076, 35375, 35595, 35722, 35908, 35457, 35468, 35495, 35687, 35678, 35803, 35642, 35800, 35657, 35630, 35688, 35604, 35573, 35662, 35809, 35771, 35591, 35528, 35349, 35308, 35282, 35386, 35581, 35470, 35542, 35571, 35649, 35505, 35725, 35722, 35642, 35585, 35673, 36267, 36152, 36081, 36103, 35946, 36018, 35880, 35718, 35635, 35667, 35536, 35487, 35291, 35268, 35471, 35475, 35416, 35352, 34987, 35135, 35317, 35175, 35304, 35438, 35466, 35553, 35739, 35659, 34281, 31159, 31861, 31208, 30872, 
