num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
30, 55032, 40467, 42088, 42363, 42372, 40035, 42087, 41257, 41982, 41433, 40733, 41221, 41271, 39825, 40855, 42267, 43278, 40980, 41493, 41275, 42148, 41943, 41635, 42963, 44245, 43248, 43202, 43243, 43189, 42910, 42015, 42793, 42584, 42398, 42871, 42286, 41923, 42004, 41886, 41621, 42238, 41841, 40934, 43063, 42548, 41685, 43097, 44114, 42810, 43068, 42759, 44170, 43442, 42570, 43205, 42566, 42039, 42314, 42901, 42082, 41906, 41879, 41817, 43292, 42354, 41590, 43402, 42050, 41246, 41549, 42561, 43108, 41801, 42228, 42800, 43067, 42874, 41544, 42461, 41920, 42780, 42665, 41974, 44208, 43122, 41583, 42817, 42560, 43166, 42784, 42227, 42329, 42426, 42417, 42479, 42761, 42502, 44434, 44726, 44597, 
31, 47453, 46947, 46750, 47179, 47151, 47191, 46413, 46524, 46168, 46378, 46093, 47181, 47128, 44215, 44149, 50371, 50247, 50474, 50384, 50098, 49698, 48345, 47704, 47513, 47675, 47451, 47818, 47240, 47327, 47232, 47214, 43331, 43312, 43440, 43572, 43668, 43670, 43682, 43737, 43698, 43667, 43676, 43597, 43602, 43530, 43590, 43497, 43576, 43639, 43652, 43440, 43438, 43471, 40323, 40180, 40080, 40157, 40089, 40123, 40160, 40126, 40214, 39988, 42449, 44500, 43858, 43403, 43579, 43611, 44553, 44670, 44758, 44702, 44567, 44610, 44754, 45416, 45622, 45624, 45221, 45156, 45583, 45539, 45720, 46657, 47163, 45181, 44806, 44465, 44349, 44439, 44617, 44666, 44685, 44566, 44510, 44517, 44639, 44960, 44998, 
32, 47439, 46305, 46363, 45885, 45600, 46939, 45941, 45909, 45860, 45886, 45706, 45836, 45438, 45309, 45684, 45777, 45650, 45562, 45506, 45371, 45442, 45402, 45409, 45608, 45674, 45697, 45638, 45730, 45697, 45590, 45762, 45808, 45688, 48114, 48055, 48032, 48372, 48307, 48410, 48469, 47514, 43822, 42540, 42630, 42816, 42805, 42874, 45631, 46291, 46266, 46339, 46248, 46210, 46383, 48701, 48723, 48794, 48713, 48794, 48929, 48750, 48740, 48676, 50504, 51826, 51658, 51664, 51623, 51551, 51690, 48866, 48515, 48737, 48740, 48685, 48559, 47349, 42474, 42320, 42367, 42553, 42521, 45920, 47377, 47289, 48486, 48723, 48857, 48896, 48869, 48766, 48785, 48768, 48773, 48737, 47868, 47000, 47085, 47030, 47010, 
33, 49358, 48532, 48790, 49060, 47742, 46626, 46517, 46418, 46031, 46662, 47105, 47162, 48398, 48714, 48667, 48702, 48658, 44449, 45062, 46044, 46075, 47983, 49050, 49919, 50150, 50096, 50306, 50093, 49521, 50101, 51069, 48529, 48544, 48571, 48530, 48846, 49132, 49251, 48890, 48671, 48154, 47691, 47864, 47788, 47786, 48205, 48279, 48248, 47499, 44141, 44197, 44227, 44218, 48581, 50153, 50106, 49995, 44811, 51486, 50952, 43910, 43612, 49740, 50833, 50773, 50820, 47103, 43500, 43482, 43478, 43359, 50659, 51214, 51325, 51450, 51511, 51536, 51499, 52209, 52517, 52404, 51967, 51589, 51609, 51659, 51601, 51244, 51160, 53499, 51375, 51154, 51165, 51248, 51247, 51271, 51296, 51243, 48287, 44135, 48626, 
34, 55496, 45165, 44821, 46123, 45063, 44902, 42407, 42168, 42231, 42103, 42693, 42392, 42601, 42898, 42844, 44084, 44775, 44408, 44281, 43836, 44074, 43986, 44075, 44200, 44352, 44480, 44496, 45026, 44923, 47176, 47127, 47260, 45171, 45205, 48128, 47777, 47620, 46182, 45953, 46766, 47078, 47032, 46729, 47012, 45847, 46450, 48770, 48784, 48835, 46292, 44005, 44079, 43978, 43843, 42783, 42439, 42475, 42335, 47141, 49661, 48608, 48201, 48590, 48638, 46377, 46170, 45966, 43646, 42449, 42324, 42352, 42290, 46695, 44634, 44713, 44338, 44368, 44279, 43922, 43934, 44081, 44110, 44335, 44352, 44062, 43529, 43298, 43119, 43161, 43025, 43315, 43284, 43767, 43517, 43712, 43586, 43678, 43689, 43531, 43537, 
35, 52904, 55474, 53496, 52196, 51208, 48881, 48781, 48541, 48302, 47795, 48229, 47762, 48035, 48692, 48734, 49108, 49433, 49209, 49080, 48697, 48655, 48846, 48896, 49123, 49503, 49478, 49573, 49507, 49096, 49134, 49160, 51508, 51456, 51246, 51316, 50984, 50964, 50873, 50565, 48890, 48819, 49168, 49172, 49196, 48879, 48478, 48465, 48429, 48478, 48468, 48500, 48569, 48736, 48090, 46381, 46799, 46549, 46522, 46576, 46844, 46861, 46854, 46802, 46814, 46858, 46833, 46812, 46853, 47243, 47278, 47163, 47105, 47168, 47102, 47281, 47408, 47520, 47491, 47444, 47506, 47474, 47222, 47218, 47145, 46932, 46946, 48511, 48273, 47927, 47665, 47499, 47241, 46774, 46750, 46465, 46320, 46296, 46824, 46754, 49581, 
36, 52782, 49157, 48216, 46811, 43102, 43383, 47547, 47840, 47800, 47771, 48990, 48825, 48771, 48603, 48534, 49262, 48664, 47360, 49509, 48698, 48416, 49508, 49609, 49576, 49527, 49517, 49529, 49696, 49525, 49238, 49303, 49415, 49513, 49533, 47939, 46908, 46897, 47088, 47061, 46929, 46596, 49589, 49576, 49474, 49486, 49440, 49561, 49233, 43346, 43470, 43346, 43020, 42920, 43001, 43003, 43539, 43670, 47857, 47125, 47543, 47792, 47829, 47892, 47742, 47484, 47364, 44903, 43336, 43248, 43300, 43286, 43255, 42841, 42810, 42849, 46232, 47103, 47124, 47175, 47116, 46626, 46614, 46642, 46710, 47687, 47866, 47886, 47815, 47267, 47662, 47814, 48002, 47689, 45790, 45549, 41019, 41155, 47079, 46952, 46329, 
37, 46763, 42207, 41844, 41813, 41213, 41154, 40656, 40575, 40364, 40231, 40047, 40350, 41112, 41346, 41663, 41913, 41849, 41787, 41675, 41776, 41753, 42940, 43862, 43944, 43976, 43847, 44571, 44192, 43876, 43949, 44282, 44271, 44335, 44064, 44078, 44134, 44121, 43820, 43765, 43857, 44158, 44155, 44640, 44578, 44541, 44561, 44591, 44571, 44626, 44553, 44498, 44552, 44789, 44852, 44984, 44853, 41821, 45395, 45397, 45435, 45343, 44836, 44678, 44545, 44788, 44521, 44552, 44056, 43898, 43542, 43649, 43414, 43577, 45449, 45535, 43946, 43423, 43365, 46136, 46698, 46634, 41864, 41839, 41628, 41564, 41506, 41574, 41577, 41388, 41481, 41366, 41345, 40874, 40844, 41568, 45302, 44458, 44363, 44177, 45332, 
38, 53011, 51313, 49326, 45791, 45321, 45439, 46392, 46795, 45048, 45051, 45325, 45977, 46195, 46824, 46790, 46594, 46720, 46646, 46733, 46811, 46853, 46764, 46791, 46817, 44237, 43482, 43431, 43513, 43428, 43463, 43501, 43570, 43272, 43106, 43063, 42974, 48991, 51840, 51605, 51616, 49955, 41640, 40796, 40593, 41343, 41792, 45361, 52422, 52286, 52321, 52318, 52757, 52608, 49408, 49411, 49308, 49379, 49691, 49564, 49390, 49534, 45079, 43556, 43510, 43399, 43276, 43295, 43414, 43331, 43356, 43413, 43410, 43458, 43399, 43476, 43528, 43477, 43511, 43679, 43673, 43768, 43741, 43691, 43830, 43753, 43622, 43795, 43729, 43552, 43578, 43599, 43562, 43504, 43539, 43410, 43139, 42978, 43218, 43137, 43186, 
39, 49865, 47911, 45540, 44766, 43313, 41990, 42045, 47221, 46644, 43656, 43605, 43738, 43993, 43948, 43939, 47179, 47041, 46976, 47186, 46228, 45563, 46423, 46706, 46520, 46512, 46440, 46512, 46934, 47208, 47157, 46495, 46934, 47695, 47855, 47865, 47371, 47333, 47287, 47095, 46229, 45991, 45908, 45908, 45819, 45701, 45682, 45798, 47254, 46961, 45937, 44789, 45894, 46087, 45996, 45973, 46276, 46189, 45141, 45160, 46560, 47050, 45692, 45703, 45731, 45562, 45478, 46895, 49400, 49465, 49062, 48491, 49263, 49392, 49318, 49595, 50305, 50199, 50281, 50251, 49561, 48743, 46798, 39882, 39954, 41259, 46133, 51482, 51441, 51154, 51151, 51294, 50939, 50878, 51010, 50870, 50791, 50747, 50628, 50824, 50885, 
