num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 5043, 5644, 4972, 5006, 4995, 5758, 5092, 5163, 5142, 5012, 5157, 5353, 5273, 5115, 5863, 5065, 5010, 5228, 6002, 6284, 5496, 5183, 5773, 5256, 6077, 6479, 6219, 7453, 7573, 7701, 7913, 7609, 7688, 7468, 7059, 6549, 6017, 5911, 5675, 5542, 5513, 5448, 5535, 5500, 5445, 6125, 5407, 5119, 5620, 5217, 5096, 5761, 5145, 5735, 5206, 5045, 5326, 5129, 5289, 5025, 5256, 5213, 5163, 5014, 5014, 5048, 5152, 4988, 5346, 5410, 5365, 5290, 5680, 5040, 6068, 5577, 5475, 5236, 5856, 5898, 6439, 5697, 6091, 5561, 5604, 5356, 5063, 5327, 5416, 5333, 5116, 6362, 5338, 5383, 5713, 5460, 5689, 5233, 5556, 5109, 
2, 15418, 15724, 15417, 15248, 15882, 16195, 14320, 13639, 14753, 14868, 15514, 15237, 15132, 15990, 16656, 16652, 16166, 15268, 15172, 16127, 16304, 16605, 15964, 16487, 16154, 15960, 16174, 16664, 16112, 15100, 16400, 16591, 16777, 16345, 15605, 15511, 15102, 15713, 15385, 15670, 16654, 16547, 16733, 16429, 16826, 16626, 16624, 15700, 15626, 16642, 15468, 16809, 16015, 15766, 15178, 15090, 15344, 15095, 15173, 15097, 14747, 14651, 14684, 14742, 14782, 14820, 14830, 16033, 16825, 15991, 16015, 15942, 15984, 16003, 16108, 15897, 15955, 16203, 16107, 16034, 16012, 16088, 15878, 15755, 15789, 16085, 15805, 15019, 15087, 15165, 15498, 15581, 16532, 16685, 15891, 15040, 15168, 16472, 16633, 16483, 
3, 23681, 23623, 23487, 23112, 23181, 23240, 22988, 22897, 22894, 22943, 22546, 22444, 22308, 22836, 23926, 23865, 23779, 22960, 22284, 22104, 21933, 22406, 21939, 22717, 22668, 22925, 22362, 22592, 22775, 22831, 22934, 22344, 22476, 23089, 23139, 22791, 22998, 23292, 22772, 22817, 22545, 23029, 22610, 22651, 22514, 22943, 22390, 22228, 22354, 22580, 22324, 22235, 22471, 22657, 22468, 22331, 22314, 22583, 22646, 22298, 22689, 22787, 22437, 22480, 22396, 22496, 22136, 22355, 22277, 22589, 22432, 22510, 22464, 22616, 22432, 22226, 22490, 22761, 22785, 21436, 21638, 21624, 21553, 21219, 21279, 21469, 21522, 21459, 21702, 22938, 21554, 21492, 21698, 22796, 22528, 22785, 22820, 23075, 22833, 23066, 
4, 28069, 29206, 29297, 29239, 29021, 31529, 30962, 28977, 29028, 29089, 28847, 28790, 28580, 28829, 28491, 28415, 28335, 28914, 28773, 28953, 29169, 29450, 28947, 28719, 28854, 29232, 29048, 29090, 29185, 28991, 28949, 28485, 28290, 28450, 28642, 29022, 28933, 28741, 28312, 30956, 31763, 31794, 30910, 30725, 30997, 31767, 31677, 31595, 31489, 31769, 31241, 31247, 31086, 29264, 27923, 28358, 29074, 28922, 28210, 28342, 28114, 28350, 28463, 28475, 28262, 28618, 28404, 28497, 28468, 28517, 28520, 28560, 28574, 28587, 28533, 28296, 28201, 28550, 28424, 28380, 28195, 28495, 28255, 28360, 28287, 28622, 28421, 28357, 28395, 28727, 28318, 27889, 28667, 28100, 28217, 27662, 28145, 28038, 27882, 28023, 
5, 35471, 39194, 39255, 39611, 39664, 39935, 40039, 40259, 40218, 40293, 40160, 39982, 39858, 37265, 35479, 35421, 35525, 35906, 36066, 35916, 35696, 35901, 35833, 35933, 35757, 35906, 35804, 36172, 35966, 36466, 36438, 36372, 36038, 36371, 36031, 35855, 35826, 35906, 35719, 35699, 35548, 35896, 36170, 40033, 37790, 40208, 35598, 35762, 39283, 39676, 39473, 36180, 36045, 36410, 36112, 36161, 39707, 40101, 39660, 39211, 39559, 39846, 39434, 36241, 36229, 36281, 35980, 35739, 35823, 36039, 35709, 35562, 35657, 36046, 36257, 36150, 36108, 36539, 36557, 36570, 36591, 36775, 36368, 36341, 36622, 36730, 36691, 36622, 36736, 36764, 36562, 36471, 36425, 36583, 37287, 39965, 39919, 40095, 40192, 39763, 
6, 41173, 41471, 41554, 41372, 41455, 41355, 41291, 41161, 41664, 41623, 41307, 41125, 41343, 41635, 41412, 41762, 41699, 41556, 41035, 40879, 40681, 40893, 40997, 40958, 40952, 41543, 41476, 41478, 41362, 41343, 41099, 41044, 41193, 41542, 41498, 41063, 41057, 41196, 41160, 40991, 41359, 42795, 42107, 41639, 39550, 39843, 39484, 39635, 39512, 39702, 39521, 39546, 39745, 39646, 39479, 39527, 39599, 39376, 41645, 41723, 41598, 41644, 41507, 41812, 42196, 42341, 42028, 42121, 42157, 42148, 41975, 42132, 42002, 42180, 42087, 42098, 42114, 42117, 42083, 41825, 41920, 42089, 42131, 41966, 42191, 42153, 41760, 41888, 42139, 42297, 42098, 42378, 42524, 42546, 42303, 42290, 42041, 42137, 42015, 42316, 
7, 51179, 49029, 48707, 48989, 47804, 48545, 48449, 48476, 48233, 48517, 48094, 48267, 48456, 48105, 48075, 48480, 48233, 48437, 48403, 48628, 48643, 49080, 48697, 49190, 49362, 49418, 49095, 49117, 48371, 48234, 47836, 47684, 47802, 48738, 48286, 47854, 48006, 48148, 48613, 48622, 48380, 48488, 50443, 53605, 53473, 53733, 53311, 53439, 51926, 48903, 52736, 53198, 52855, 53307, 52948, 52842, 40422, 40944, 48759, 48870, 48438, 48266, 48008, 48232, 48146, 48323, 48276, 48095, 48036, 48124, 47985, 47965, 48260, 48368, 42960, 40233, 40206, 40195, 46576, 48141, 48123, 48044, 47738, 47915, 47654, 47960, 47642, 47599, 47699, 47780, 47862, 47746, 48044, 48020, 47927, 47440, 48089, 48138, 47779, 48360, 
8, 53271, 54083, 53954, 53933, 53336, 53541, 53037, 52969, 52936, 53022, 52731, 52766, 52831, 53095, 52788, 53031, 53134, 53409, 53096, 53196, 53073, 53223, 51965, 51165, 51013, 51136, 51049, 51120, 50943, 50896, 50521, 50703, 50522, 50907, 50688, 50825, 51300, 51365, 52502, 52739, 52600, 52584, 52701, 52666, 52614, 52741, 52390, 52552, 52608, 52776, 51238, 50622, 50720, 51055, 50841, 51070, 50809, 51126, 50859, 50707, 50948, 51061, 50856, 50664, 50667, 50743, 50735, 50897, 50682, 50916, 52122, 54052, 53612, 53073, 51721, 51634, 51520, 51585, 51476, 51156, 50759, 50629, 50594, 50419, 50484, 50798, 50607, 50633, 50833, 50854, 50636, 50565, 50622, 51172, 51147, 51185, 51295, 51481, 51286, 51377, 
9, 58566, 58410, 57475, 57527, 57345, 57423, 57080, 57852, 57408, 57513, 57095, 56280, 56258, 56591, 56933, 57186, 56688, 56774, 58792, 58753, 56648, 56784, 56854, 56912, 56797, 56451, 56296, 56597, 56583, 56285, 56338, 56270, 56058, 56113, 55810, 56405, 56563, 56820, 56787, 56881, 56759, 56981, 56651, 56697, 56825, 56962, 56298, 56404, 56274, 56499, 57053, 56745, 56697, 57137, 57090, 64679, 65405, 65805, 65836, 66095, 65762, 66123, 65932, 65462, 65471, 65969, 65675, 65604, 65599, 65834, 65157, 65123, 65115, 65638, 65215, 65373, 65099, 65535, 65367, 65166, 64910, 65085, 57740, 57580, 56995, 57042, 56899, 56996, 56984, 57088, 56649, 56624, 57086, 57191, 56960, 56994, 56809, 57047, 56860, 56952, 
10, 61696, 60912, 61385, 60851, 60112, 60274, 60140, 60210, 60507, 60841, 60586, 60673, 60954, 61226, 63684, 62994, 62954, 60891, 60569, 60797, 61175, 60886, 60564, 60850, 60418, 60546, 60267, 60206, 60260, 60832, 60579, 61040, 60378, 60651, 59904, 59929, 60210, 60875, 60593, 60621, 60530, 60821, 60461, 60624, 60452, 60725, 60505, 60709, 60545, 61014, 60608, 60639, 60622, 60861, 60424, 60543, 60341, 60674, 60574, 60399, 60289, 60792, 61136, 61433, 65863, 71816, 70651, 71288, 71426, 71350, 70169, 70435, 70583, 70650, 70368, 70192, 70171, 70493, 70236, 70214, 70083, 70486, 70081, 70337, 70001, 70574, 70082, 70235, 70211, 70479, 70082, 70147, 70081, 70595, 70103, 70069, 70169, 70538, 70250, 69838, 
