num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, 
49, 10486167, 17195381, 17752010, 18098103, 18350490, 18102641, 18647662, 18781738, 18502550, 19298345, 18154320, 19707149, 18695559, 18860571, 18738373, 18747504, 20315928, 19869146, 20040481, 19356799, 20039398, 20436198, 19419859, 20010967, 19693532, 19304760, 20301839, 20213120, 19904778, 19751374, 20196354, 19916194, 19571168, 19353814, 18677753, 19769243, 16777909, 19903973, 19023023, 18752570, 19433843, 18649669, 19718248, 19772403, 19560146, 19054074, 19511976, 19458954, 18935399, 19677524, 19748706, 19850544, 19043175, 19375434, 19276889, 18996240, 19413222, 19134776, 19723889, 19606758, 
50, 10409658, 13498351, 18258160, 18971684, 18634533, 17934861, 18639658, 18907738, 19299766, 18626378, 19263638, 18908269, 18853176, 18858895, 18906819, 18470167, 19126120, 18363358, 19003409, 19298921, 18726931, 18412959, 19031863, 18617816, 18749867, 18881585, 18857928, 18518713, 18402115, 19010165, 18464776, 18983531, 18819908, 18973704, 19222241, 18739727, 18820860, 18778256, 19027595, 19066016, 19067235, 19369207, 19044251, 18709108, 18823019, 18999040, 18777253, 19049015, 19175712, 18890966, 18660914, 19162139, 18220714, 18723704, 19176538, 18867441, 18599757, 19398681, 18836729, 19014925, 
51, 10950460, 7944684, 16588005, 17626480, 17678088, 17302141, 18065838, 17530730, 18014996, 17834272, 18202841, 18344098, 17319296, 18479267, 17404689, 18853911, 17250572, 18358962, 18129526, 17373201, 18928809, 17223009, 18788997, 17456179, 17707131, 18167264, 17441011, 19659310, 18858632, 19302665, 19011824, 18596750, 20113488, 18752550, 18842184, 19498801, 18377925, 19262652, 18213561, 16999753, 18929035, 17844599, 18357984, 18011360, 17508110, 17808405, 18523723, 16823190, 18685817, 16982604, 18411859, 17925902, 18291176, 17679228, 17652421, 18818234, 17284602, 18337601, 18411541, 17719037, 
52, 10111099, 8652594, 17331155, 17753917, 19087432, 19264794, 19617401, 19888752, 19159243, 19408555, 19447950, 17771728, 19808059, 18444471, 20133423, 19107916, 19542989, 19800313, 18680996, 20323141, 18063245, 19341152, 18032469, 17891336, 19481500, 17725277, 18831806, 18628571, 18075225, 18652777, 17778435, 17703890, 18722874, 16970556, 17588722, 19777958, 18249922, 19027619, 19607219, 17246494, 19444318, 18222547, 19901907, 19886890, 18681565, 20297880, 18321417, 19335605, 18355572, 19184691, 18777798, 19390173, 19632482, 19173055, 19472686, 19162838, 19135775, 19172573, 18432766, 18950942, 
53, 8655311, 6165100, 18655990, 18006048, 18035829, 18752696, 18413817, 18807235, 18488693, 18901462, 19374549, 18325228, 18392979, 18993058, 18441815, 18864358, 18447017, 19418394, 18589569, 18426058, 18857243, 18816581, 19276336, 18211294, 19237397, 18752502, 17648949, 19223889, 17880084, 18998414, 18107038, 18954237, 19217970, 18869995, 17899840, 18864852, 18108588, 18216944, 17753187, 18052268, 18324798, 18142783, 18971255, 18587432, 18878234, 18713627, 18491460, 18128573, 19168997, 18610823, 19509481, 17957915, 18861353, 19845161, 17689644, 19475073, 17992056, 19190608, 19024181, 17809772, 
54, 11486320, 5938993, 13802045, 17336227, 17029100, 18121398, 18107953, 18164333, 18360848, 18473246, 18081902, 17992849, 17899308, 17986160, 17999088, 17554538, 18058990, 17679317, 17219438, 17819443, 18038837, 17875860, 17861858, 17828132, 18344745, 17865598, 17704620, 17781312, 18056561, 17719777, 18086930, 17520332, 18334919, 17902086, 17713326, 18009953, 17699840, 17326407, 17033553, 17664145, 17992286, 17385771, 17159419, 17876961, 18168119, 17867480, 16860382, 17629913, 18230954, 17287382, 18279954, 17391627, 17552518, 17750135, 18433698, 17514045, 17750431, 17329134, 18107854, 17057972, 
55, 13158388, 7019577, 16892021, 17745617, 17039111, 17541678, 17391064, 17559360, 18267704, 18110846, 17247020, 17629028, 17929026, 17106916, 17284411, 16584971, 18130502, 18522468, 17829632, 16660981, 17604065, 17089124, 16467890, 18307802, 16627034, 17633014, 18196428, 16820752, 16547837, 17044081, 15820671, 17540854, 17996446, 17934123, 17723904, 17376442, 17565852, 17965822, 17516357, 17149444, 18693026, 17945520, 17804628, 17587093, 17699475, 17103451, 17589822, 18171117, 18629056, 18342644, 18093574, 19009479, 18355767, 17657860, 17722512, 17605296, 17762073, 18372132, 17957086, 17719533, 
56, 6730013, 6562972, 17180539, 16650785, 18098676, 18105302, 17825809, 17445884, 18083443, 17528322, 17600803, 16723692, 17915089, 17860606, 16797016, 17910056, 16539714, 16364006, 18530822, 17897313, 17580812, 16915741, 17919047, 17861906, 15498880, 18512812, 14939623, 17666609, 16708520, 17459100, 14650151, 16479242, 13825119, 17793246, 16944350, 16992149, 18193725, 17529839, 18169051, 17532500, 17621259, 18082854, 16845925, 17846073, 16921815, 17833465, 17368257, 17299409, 18087649, 16883083, 17944488, 18264869, 16290871, 17036151, 19086957, 17389800, 18098825, 17487579, 16788509, 17725073, 
57, 11108471, 11354426, 9971399, 17618776, 18071517, 18035194, 18363989, 17632727, 18154527, 18286545, 18669545, 18626576, 17245405, 18307237, 18606756, 18753162, 17699891, 18155931, 18897396, 17425114, 18557437, 18803426, 17980089, 17137385, 18786799, 18738890, 17353267, 18480972, 18870721, 16941489, 17820181, 19121682, 18457972, 18103700, 18215925, 19237386, 17133634, 18170243, 18998110, 18643462, 17273155, 17602583, 18908627, 18282267, 17123949, 18331078, 19013925, 18509308, 18788925, 18012317, 17133613, 18111897, 17360048, 19802039, 17977235, 17403499, 18091762, 18541010, 18674602, 16965861, 
58, 7602864, 12661037, 16229917, 17978672, 17781546, 17815578, 17936633, 18694337, 18615639, 18084436, 18274074, 17993437, 18083044, 18670864, 17623967, 17924079, 19494216, 18426306, 18010306, 18531764, 18257635, 18121631, 17691481, 18375585, 18475067, 18171795, 18259016, 18468473, 18756128, 18292677, 18248735, 18153542, 18332288, 18301035, 18377395, 18513447, 17864314, 17357501, 17795115, 17393562, 17339706, 17260788, 18363419, 18044134, 18592155, 18667544, 18572746, 18174119, 18723175, 19080672, 18920088, 19338955, 18271161, 18683635, 18287680, 18849362, 18480058, 18726293, 18537502, 18375931, 
59, 10389272, 11661757, 10533546, 17470773, 18240585, 17966951, 17319307, 17803552, 18162820, 18068991, 18165724, 17950719, 18234712, 18076264, 18313512, 18066810, 17589679, 18718461, 18851939, 17585347, 18362089, 17473950, 19061628, 18218147, 18478369, 18263551, 18590847, 17784799, 18373199, 18795960, 18324596, 18153153, 18188388, 18540725, 18486359, 18505052, 17637513, 18925699, 18237940, 18774762, 17925474, 18243160, 17938823, 18475096, 18012139, 18540534, 18431866, 19070221, 18253314, 18901465, 17467618, 18895448, 18463707, 18278406, 18316093, 18294184, 17512095, 19374408, 17760482, 18123105, 
60, 10816310, 13105480, 13340951, 17579099, 17727034, 18204284, 18324942, 17584637, 18631305, 18426243, 17498029, 14119740, 15458648, 16508216, 15249784, 16685066, 15549362, 17573919, 14549144, 17134077, 14297397, 17089106, 13492207, 16950600, 13328279, 17452340, 14494817, 17528778, 13483469, 16886705, 14271562, 17399085, 13940680, 15637609, 14940957, 16948207, 14837726, 14007665, 16875214, 16203490, 16553618, 17475622, 14910505, 17031163, 16549934, 16354578, 16078112, 16354956, 16194732, 16721478, 15448973, 17355511, 15561051, 17372174, 15258786, 17292196, 15651739, 16684712, 16507314, 15225376, 
61, 7659274, 15912485, 15573667, 17217398, 17431102, 17126327, 17450381, 17835668, 17800991, 17960317, 18067499, 18085902, 17926241, 17428580, 17509182, 16386354, 17688593, 17771893, 17824933, 17703675, 14186106, 17960484, 17579927, 17449330, 17362938, 17801129, 17496925, 18078380, 17787265, 17875203, 17653305, 17802154, 17298741, 17794194, 15675356, 17618593, 17065575, 16887176, 18052799, 16803582, 17548101, 17593769, 17406924, 17704413, 17496457, 16545546, 18269943, 17869604, 15792758, 17787499, 17915521, 18068141, 18026687, 17175942, 17553399, 18367036, 18510245, 18239637, 18454891, 17760426, 
62, 9100796, 9399151, 7643469, 16713044, 16127744, 16294904, 16926090, 16538218, 16827947, 16991413, 16386840, 16946458, 17340463, 16853110, 17133873, 16926343, 17585695, 16584084, 17484548, 16752917, 16630522, 16723430, 17179558, 16924269, 17428070, 17386917, 16724348, 17136488, 17056806, 16993133, 17259347, 17198123, 17041314, 17231298, 17587154, 16650168, 16726217, 16873942, 17212286, 16879733, 17232091, 16483112, 17054126, 17134640, 16829590, 17191284, 17214242, 16531231, 17353240, 16365375, 17377913, 17429552, 16306319, 17058541, 16952760, 16579958, 17257118, 17410009, 16457064, 17263499, 
63, 7084369, 13075798, 14854489, 18101646, 18107112, 18847300, 18605194, 18534245, 19234126, 18894661, 18501314, 19293277, 17784815, 18070216, 17963634, 18215367, 18492542, 18784511, 18354519, 17920362, 19060406, 17564854, 18377073, 18050759, 18661445, 18009515, 18147139, 17971346, 17922573, 18215177, 18216637, 18325812, 16418723, 17322798, 18152255, 16194941, 18303982, 17659798, 17482705, 17434967, 18506026, 18711648, 17321564, 18148436, 18623691, 18572805, 18609466, 17887543, 18624309, 17948655, 19349185, 18608354, 18302964, 18463602, 18534587, 18756158, 18527719, 17965248, 18570687, 19124136, 
64, 12303528, 14063079, 13828468, 15725480, 16505803, 16351738, 16032382, 16940331, 16531689, 17345708, 16505563, 17146996, 16630659, 16805163, 16701428, 17099725, 16726074, 17151601, 16779474, 16811249, 17509695, 17222224, 16089962, 17321709, 17082190, 16691016, 17251489, 17056165, 16827839, 17128368, 16812051, 16935642, 16789229, 17413506, 16758000, 17262321, 17622432, 16956147, 16948927, 17427224, 16446180, 17155137, 17325800, 16985687, 17551420, 16916560, 16794507, 16864040, 17572516, 16920168, 16941675, 16923321, 17114719, 17457921, 17030967, 16603497, 17339584, 17115880, 16665825, 17034497, 
