num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60,
23, 19497369, 18370772, 19057936, 18338826, 17663269, 18948992, 19034717, 19219895, 18810770, 18885160, 18642048, 18765649, 18969692, 18927610, 18596403, 19080217, 18716298, 19424416, 18575911, 19492900, 19212286, 18178949, 19064170, 18881503, 18831849, 19101826, 18699129, 19130334, 19032883, 19324199, 18711547, 18818105, 18830700, 19415710, 18752760, 18931992, 19197700, 18971454, 18848302, 19063895, 19943378, 19453201, 18739056, 18515992, 18865492, 18776509, 18958128, 19065371, 19125094, 19149988, 19112977, 19599285, 19116656, 19522937, 19444180, 19319871, 19919319, 19207910, 19229598, 19404727,
24, 17719879, 18465031, 18674239, 18122074, 18699925, 18015308, 18847809, 18512417, 18986828, 18101098, 18496887, 18991710, 19332127, 18093220, 19416592, 17811072, 19496361, 17549295, 19825064, 17429840, 19766356, 18180854, 19463011, 19182382, 18483974, 19619295, 18723993, 19196002, 19235221, 19283592, 18803177, 19719207, 19381099, 19157337, 19114934, 18819970, 19390637, 19506637, 19047402, 19271890, 19488714, 19285985, 19415277, 19156619, 19747764, 19620437, 19214152, 18832425, 19214975, 19689411, 18791091, 18952078, 19080307, 19149808, 19089086, 18928296, 18874471, 18765804, 18780216, 19643564, 
25, 18578555, 18659890, 18111988, 17749983, 17947656, 18332244, 18442505, 18375780, 18547510, 18273061, 18375444, 18135575, 18344301, 18259505, 18181582, 18359108, 18434472, 18893846, 18669004, 18439228, 18537239, 18314431, 18683122, 18490153, 18432134, 18665617, 18807623, 18872679, 18876592, 18663224, 18245630, 18715832, 18305799, 18367772, 18517489, 18624452, 18611555, 18024538, 19342475, 18739327, 18690879, 18680998, 18540288, 18531574, 18470250, 18438181, 18664256, 18784681, 19203974, 19196009, 18624909, 18270138, 18571020, 19115480, 19300111, 18949160, 18311021, 18523503, 18725174, 18690499,
26, 19188755, 18494876, 18851066, 18740107, 19298135, 18920123, 18881674, 18914398, 19063421, 19119640, 18745859, 19118343, 19329204, 19239127, 18970449, 19031481, 19669441, 18824724, 19284803, 19950849, 19459641, 19354545, 19549084, 19682716, 18836747, 20364316, 19200110, 19658932, 19605889, 19392301, 19022905, 19097351, 20323631, 19789177, 19242012, 19044902, 20442383, 20048281, 19479813, 19102374, 19933259, 19336357, 20018585, 19516568, 19205813, 19037231, 19653303, 19704323, 19771435, 19670370, 20221054, 19825595, 19350285, 19621462, 19367321, 20300863, 19408951, 19633114, 19417526, 20047728,
27, 18909150, 18970898, 19313800, 18913507, 18878765, 18541936, 18494158, 18754406, 18368116, 18798614, 18293737, 18872622, 18602675, 18643977, 19351125, 17713839, 19679872, 17996101, 19581264, 18058855, 19011158, 18694893, 18422751, 18653474, 18624227, 18663957, 18661781, 18906345, 18636783, 18783967, 18469089, 18696341, 18563612, 18677228, 19003666, 18876622, 18682159, 18670434, 18657142, 18371598, 19112571, 18616720, 18734194, 19104667, 18881582, 19013197, 18526439, 18835019, 18765324, 19172414, 19046473, 19364616, 18940246, 19442935, 19251465, 19305482, 19320591, 19360194, 19374630, 19254687, 
28, 16940488, 18002103, 17984578, 17866202, 17959355, 17545616, 18625210, 18214870, 18109682, 18125126, 18065252, 17881861, 17959758, 18838163, 19160740, 18337407, 18242969, 18127391, 18244244, 18249670, 17816868, 18071726, 19145599, 18872328, 17730257, 17840223, 18218171, 19915024, 18007452, 17809779, 17677964, 18321114, 19586660, 18385824, 17806819, 19275350, 18944751, 17959565, 18981166, 18261525, 18758375, 17974555, 19308526, 17920929, 18588970, 18553041, 19277943, 18122183, 18002081, 19006337, 19316665, 18014426, 17905273, 19252167, 18547613, 18261811, 18142558, 20060836, 17962610, 18073847, 
29, 17934358, 18889488, 17302559, 18770058, 16816239, 18030912, 16944341, 17830755, 18375270, 17099038, 18738947, 17351254, 17768263, 18325468, 17407135, 18222867, 17461098, 17926360, 18205517, 17300122, 17943890, 17907144, 17829951, 17880835, 17786528, 17958812, 18260257, 17702256, 17964229, 17992740, 18038534, 17984928, 18086370, 17690068, 18118299, 17977694, 18050781, 18132346, 18206056, 18112353, 18087640, 18041077, 18089410, 18349392, 17848907, 17974771, 17858625, 18225061, 17900121, 18064652, 18350483, 18060045, 18161040, 18536036, 18498972, 18469164, 18298857, 18062545, 17971654, 18318006,
30, 18024525, 18637464, 18793408, 18589113, 18767308, 18224841, 18871257, 19283509, 17901977, 19354361, 18577180, 18040222, 20114890, 17652715, 20373970, 17583961, 19649358, 18658770, 17611328, 19938959, 19014255, 17886587, 20639192, 17336142, 20561729, 17436784, 20226099, 19087903, 17678063, 19902165, 18453157, 18710995, 19728740, 19394203, 18405715, 19224756, 18892760, 17824151, 19855180, 18959055, 19675109, 18899197, 19228694, 18503075, 19278890, 18666090, 18159365, 19003934, 18507528, 19022569, 19349897, 19139596, 19213027, 18845797, 19326915, 20241100, 18288216, 20248975, 18773865, 18775099, 
31, 18205859, 18730512, 18019764, 17953711, 17741862, 17816645, 17250759, 18389759, 18397742, 17589114, 17664317, 17695389, 17828658, 17769128, 17935208, 17895138, 17774117, 17897929, 17862485, 17715891, 18092173, 17903008, 17888260, 17892522, 17779752, 17810406, 17690657, 17953237, 17885314, 17923852, 17713737, 17874666, 17849953, 18733814, 19141786, 19659924, 18049295, 18113763, 17793723, 17877735, 17868653, 17800545, 17841131, 17881664, 18024092, 18480419, 19468436, 19267368, 18268124, 17980651, 17803030, 18243338, 17946319, 18078656, 17914637, 17846777, 17840837, 17824554, 17925394, 17871911, 
32, 18494048, 18649609, 18252902, 18080193, 18890761, 18039570, 19360313, 18452815, 18073132, 20164759, 18018687, 18023436, 20742031, 18120920, 17953801, 20911239, 17652950, 18281650, 20234608, 17858589, 19360995, 19228603, 18834828, 18763285, 19147370, 19093281, 18423073, 19182971, 19351190, 18503183, 18549333, 18856402, 17793548, 19367332, 18594793, 18419654, 20023025, 18055772, 18837909, 19617909, 18325081, 19730331, 18739450, 18731170, 18808846, 18156654, 18488361, 19498496, 18736713, 18582231, 19315509, 18569928, 19076647, 18762496, 18115021, 19101658, 19643525, 18916402, 19369552, 18451407, 
