num_pings, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23, value24, value25, value26, value27, value28, value29, value30, value31, value32, value33, value34, value35, value36, value37, value38, value39, value40, value41, value42, value43, value44, value45, value46, value47, value48, value49, value50, value51, value52, value53, value54, value55, value56, value57, value58, value59, value60, value61, value62, value63, value64, value65, value66, value67, value68, value69, value70, value71, value72, value73, value74, value75, value76, value77, value78, value79, value80, value81, value82, value83, value84, value85, value86, value87, value88, value89, value90, value91, value92, value93, value94, value95, value96, value97, value98, value99, value100, 
1, 58914, 68236, 69029, 68970, 56953, 52378, 60795, 69991, 70095, 50921, 37578, 37635, 37522, 37450, 37407, 37517, 37493, 37113, 44849, 43012, 59255, 51587, 53980, 56622, 61256, 56872, 52501, 53379, 59422, 55421, 50764, 56596, 53913, 55506, 52803, 55964, 65384, 69322, 69252, 69100, 49779, 36359, 36417, 36446, 36421, 36404, 36873, 37268, 37544, 37412, 38156, 38791, 37391, 44178, 52687, 52735, 58948, 59465, 53313, 55918, 53922, 61211, 68945, 68533, 64160, 63980, 58563, 61588, 65017, 56670, 56824, 61346, 57332, 58371, 53128, 55039, 55540, 55992, 54553, 56362, 53867, 53674, 53054, 54864, 56838, 56316, 55703, 56010, 52677, 64065, 60143, 52077, 59569, 53233, 54527, 54928, 55485, 58774, 50603, 59054, 
2, 60743, 54725, 52500, 51750, 54775, 54450, 53550, 54198, 56952, 53765, 54150, 54201, 53550, 53512, 53588, 53398, 53427, 55175, 54325, 55025, 54925, 54575, 54900, 55272, 55682, 56315, 52847, 51450, 53483, 50292, 56125, 59900, 58925, 60900, 63475, 61025, 60851, 60450, 61325, 61050, 60025, 62050, 56197, 53100, 57722, 55650, 51325, 54150, 63573, 59675, 59849, 61475, 50100, 50125, 52900, 53850, 53536, 52956, 44850, 50000, 50064, 49911, 49875, 54900, 50575, 50388, 50487, 50266, 50659, 50332, 52350, 51300, 55775, 54900, 54900, 55675, 55950, 58175, 54900, 54775, 56500, 57600, 57300, 60175, 54900, 56700, 52925, 51584, 51261, 49105, 49085, 49242, 53297, 51000, 49650, 48815, 48086, 47789, 47975, 47092, 
3, 56675, 54225, 53875, 53343, 54108, 53749, 54025, 53775, 53425, 54100, 54001, 53999, 56950, 57355, 58970, 62000, 60915, 56475, 58218, 61232, 62775, 58322, 59478, 64925, 68375, 61671, 63829, 59231, 57344, 58250, 55475, 51525, 54424, 53925, 52951, 55125, 54100, 56450, 58825, 55675, 59966, 60836, 62836, 57600, 61035, 59100, 57436, 58214, 60850, 53525, 51175, 50625, 50975, 52350, 55775, 59475, 59075, 59650, 59250, 58981, 59050, 59458, 59000, 58961, 59025, 58399, 54701, 61925, 60935, 57290, 54403, 56572, 58375, 59798, 58417, 60563, 55375, 57375, 53975, 46975, 48700, 52350, 59300, 60171, 57632, 60459, 61599, 59888, 59600, 58971, 63517, 64012, 61144, 59417, 53811, 53730, 56967, 63107, 61750, 59375, 
4, 61875, 54186, 54114, 54825, 54950, 54625, 53850, 52046, 51328, 55151, 55500, 54225, 58875, 66300, 63575, 56425, 56975, 58957, 55668, 46500, 50700, 61350, 64800, 61925, 63065, 57010, 55000, 57750, 65250, 63425, 68862, 57388, 61711, 63381, 65999, 61059, 53525, 53825, 55800, 55500, 56100, 55750, 53575, 56022, 52703, 51415, 53760, 57850, 55850, 63063, 61437, 58675, 59375, 58825, 59525, 55750, 55075, 57125, 62000, 59775, 55125, 51102, 53148, 57150, 55625, 62575, 61500, 59700, 59050, 59225, 60527, 58047, 55226, 53492, 51408, 55721, 57625, 58991, 61559, 61275, 59625, 55250, 55525, 55450, 56881, 59844, 55150, 51950, 54900, 56725, 59625, 61734, 65491, 67492, 63033, 61371, 55537, 54042, 55500, 59150, 
5, 61175, 49104, 49405, 49241, 48825, 48525, 48450, 51300, 49421, 53979, 52775, 55965, 58803, 60121, 59111, 57375, 60383, 59716, 58676, 60100, 54228, 52674, 57723, 58500, 56850, 61475, 59950, 57975, 63575, 63675, 65711, 68614, 57000, 61525, 61125, 53400, 53825, 54525, 51350, 45007, 39118, 48551, 53624, 54650, 56625, 54700, 57514, 58711, 58846, 61979, 60475, 59450, 61175, 65650, 60475, 54401, 55374, 56950, 61712, 66038, 61428, 56222, 55775, 56900, 56300, 55125, 55198, 56127, 55125, 56250, 56444, 56050, 53650, 57375, 55200, 46075, 46100, 50199, 49609, 47367, 49292, 53683, 50575, 41250, 40600, 40450, 40500, 40650, 40500, 41100, 41025, 40658, 40643, 40574, 41475, 41082, 45968, 45375, 46714, 52228, 
6, 60598, 56075, 56025, 56332, 56118, 56075, 57050, 59925, 58425, 57367, 58808, 58700, 58575, 58025, 58500, 58175, 57813, 59012, 57971, 57673, 55781, 57854, 58321, 58678, 58797, 60650, 60775, 60100, 60300, 60300, 60352, 56448, 54255, 52320, 53014, 56161, 56450, 58575, 59125, 59125, 60750, 60750, 61400, 59850, 59300, 59375, 56378, 56772, 56250, 53025, 51750, 51575, 55600, 55725, 60200, 58150, 57875, 58325, 58157, 59068, 59525, 59925, 60500, 59450, 59150, 57075, 56325, 55350, 55825, 58300, 57395, 56430, 56002, 54648, 49100, 49250, 54200, 54000, 57325, 58731, 54433, 55036, 55100, 54797, 60578, 58100, 60875, 58950, 57600, 57600, 57018, 57557, 58575, 58570, 57565, 55290, 53050, 53275, 54525, 55225, 
7, 47266, 41109, 40300, 44025, 45150, 48025, 46250, 45814, 43136, 41025, 40650, 44925, 50525, 51300, 52975, 48766, 50534, 50501, 50524, 50571, 49116, 51513, 53517, 50283, 51646, 51154, 50125, 49775, 57825, 58287, 51006, 52957, 55350, 57300, 56300, 54975, 57150, 60975, 56840, 56035, 53700, 51000, 52500, 52300, 51871, 50429, 52275, 52250, 54000, 55665, 58785, 60150, 64500, 62775, 61140, 60350, 57110, 59268, 58832, 59875, 64695, 54680, 52987, 56238, 53850, 53025, 49850, 50325, 51025, 49625, 51700, 56825, 61275, 60052, 54848, 49975, 46757, 48718, 53625, 57175, 55765, 56060, 54825, 52825, 56150, 51037, 55830, 54983, 54975, 57766, 56834, 56175, 51450, 52800, 52800, 52750, 49950, 49575, 52700, 52500, 
8, 57275, 53675, 53135, 53115, 53350, 53500, 52619, 51681, 52302, 52423, 56675, 57050, 56075, 56100, 57125, 57450, 54075, 54075, 53850, 52950, 52975, 52575, 53116, 51334, 52675, 50975, 51675, 53925, 55200, 54625, 54750, 53325, 55650, 56625, 52950, 54425, 55222, 57453, 59550, 58125, 57727, 57473, 59325, 58200, 59725, 60350, 60000, 60050, 56875, 52800, 52775, 53475, 54000, 54850, 55726, 55099, 54000, 51000, 51000, 54525, 56375, 58300, 59350, 56975, 53950, 58825, 60050, 59050, 55475, 52800, 53700, 54025, 54600, 57325, 61400, 59225, 55724, 52801, 49500, 49500, 48750, 47801, 50913, 56981, 57045, 63085, 70525, 69600, 61236, 65713, 67276, 61200, 63625, 65850, 65475, 63575, 59325, 61950, 61100, 57420, 
9, 56925, 53225, 50208, 50102, 50040, 54675, 58050, 58700, 60000, 59565, 61260, 60475, 60450, 62025, 62750, 59675, 59125, 57500, 59275, 63150, 55375, 60100, 60523, 61227, 64200, 65800, 65450, 65752, 65773, 64350, 62700, 63826, 63449, 62075, 62100, 62401, 62449, 64425, 56025, 54050, 54350, 54178, 53722, 50212, 50238, 50075, 48700, 50600, 54625, 53425, 55250, 60050, 62825, 63425, 65575, 65400, 63150, 60525, 62600, 60475, 56650, 56325, 56750, 56375, 56400, 56675, 58075, 59300, 56486, 56186, 60203, 62075, 60700, 60450, 61475, 62815, 65010, 61175, 58050, 58696, 59250, 58879, 55542, 57208, 59400, 63075, 62125, 62750, 62800, 62150, 62000, 62850, 59825, 52200, 51300, 51325, 51625, 52600, 51025, 50950, 
10, 55350, 55550, 54847, 54876, 55327, 55400, 55414, 55586, 54850, 49375, 49525, 54050, 54800, 52450, 51700, 51850, 54825, 55325, 54948, 55452, 55867, 54333, 55013, 58187, 56250, 55725, 56144, 56806, 57875, 57025, 56400, 52950, 58600, 53925, 53375, 53853, 54872, 55400, 54950, 54825, 55275, 55550, 54585, 55565, 55594, 54656, 56086, 55190, 53844, 54730, 55550, 51800, 52500, 53859, 53550, 53716, 53450, 53800, 53796, 53479, 53000, 50550, 50650, 50600, 54702, 55673, 56999, 56776, 55625, 56250, 55925, 58100, 58431, 61219, 60325, 61200, 61450, 61550, 60400, 59150, 53453, 53897, 55502, 56248, 55200, 57601, 58524, 57875, 55800, 58125, 54725, 53250, 54543, 52923, 52584, 52875, 51936, 55589, 54050, 52475, 
11, 58575, 51875, 51025, 49824, 49424, 49350, 51977, 51475, 51575, 52025, 53725, 56060, 54415, 53725, 52111, 53439, 56925, 60125, 59400, 60150, 57726, 57124, 56175, 58437, 57688, 59525, 58450, 54600, 54275, 53483, 54617, 55300, 55594, 58681, 57425, 60150, 59573, 59977, 58700, 58125, 55575, 49700, 50200, 50300, 49144, 49481, 49025, 50375, 51575, 50275, 52125, 51175, 48000, 48100, 48300, 49050, 48828, 49872, 50547, 51678, 52050, 51850, 51350, 52294, 56581, 57575, 59546, 61854, 60200, 61725, 62465, 62585, 63075, 58275, 58050, 53600, 54559, 55316, 53398, 49602, 52025, 51900, 52100, 52075, 51839, 52111, 52600, 52175, 51925, 52675, 52150, 52725, 52653, 51272, 53650, 58207, 61318, 62050, 63325, 62100, 
